Ticker,Description,Sector,Industry
AES,"The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries. The company also owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residential, commercial, industrial, and governmental sectors; and generates and sells electricity on the wholesale market. It uses a range of fuels and technologies to generate electricity, including natural gas, coal, pet coke, diesel, and oil, as well as renewables, such as hydro, solar, wind, energy storage, biomass, and landfill gas. The company owns and/or operates a generation portfolio of approximately 30,471 megawatts. It has operations in the United States, Puerto Rico, El Salvador, Chile, Colombia, Argentina, Brazil, Mexico, Central America, the Caribbean, Europe, and Asia. The company was formerly known as Applied Energy Services, Inc. and changed its name to The AES Corporation in April 2000. The AES Corporation was founded in 1981 and is headquartered in Arlington, Virginia.",Utilities,Utilities—Diversified
APD,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and services worldwide. The company produces atmospheric gases, including oxygen, nitrogen, argon, and rare gases; process gases, such as hydrogen, helium, carbon dioxide, carbon monoxide, syngas, and specialty gases; and equipment for the production or processing of gases comprising air separation units and non-cryogenic generators for customers in various industries, including refining, chemical, gasification, metals, electronics, manufacturing, food and beverage, magnetic resonance imaging, energy production and refining, and metals. It also designs and manufactures equipment for air separation, hydrocarbon recovery and purification, natural gas liquefaction, and liquid helium and liquid hydrogen transport and storage. Air Products and Chemicals, Inc. was founded in 1940 and is headquartered in Allentown, Pennsylvania.",Basic Materials,Chemicals
AKAM,"Akamai Technologies, Inc. provides cloud services for delivering, optimizing, and securing content and business applications over the Internet in the United States and internationally. It provides Web Application Protector to safeguard web assets from web application and distributed denial of service; Kona Site Defender, a cloud security solution; Bot Manager to identify bots and categorize bots based on business or IT impact; Edge DNS, which translates human-readable domain names into numerical IP addresses; Site Shield that prevents attacker from directly targeting the application origin and forces traffic to go through its network, where attack can be better detected and mitigated; identity Cloud, a customer identity access management solution; Prolexic Routed to protect web- and IP-based application; and Client Reputation that assigns risk scores to malicious IP address and enables customers to take action on individual clients. It also offers Enterprise Application Access that enables adaptive access to application; Enterprise Threat Protector to enable enterprise security teams to identify, block, and mitigate targeted attack; Ion, a suite of intelligent performance optimization tool and control; Dynamic Site Accelerator to accelerate and secure interactive website; Image Manager that automatically optimizes online images; CloudTest to conduct load testing and other analysis of website in a pre-production environment; and mPulse that provides real-time website performance data for customers to enhance their digital experiences. In addition, the company provides Aura Managed CDN, DNS Infrastructure, and security and personalization service; and adaptive delivery, download delivery, media service live, and media analytic solutions, as well as NetStorage, a cloud storage solution. It sells its solutions through direct sales and service organizations; and various channel partners. The company was founded in 1998 and is headquartered in Cambridge, Massachusetts.",Technology,Software—Infrastructure
AAP,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. Advance Auto Parts, Inc. operates its stores under the Advance Auto Parts, Autopart International, Carquest, and Worldpac brand names. As of December 28, 2019, it operated 4,877 stores and 160 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,253 independently owned Carquest branded stores in Mexico, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",Consumer Cyclical,Specialty Retail
A,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. It operates in three segments: Life Sciences and Applied Markets, Diagnostics and Genomics, and Agilent CrossLab. The Life Sciences and Applied Markets segment offers liquid and gas chromatography systems and components; liquid and gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; inductively coupled plasma optical emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate readers; laboratory software and information management and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps; and measurement technologies. The Diagnostics and Genomics segment provides reagents, instruments, software, and consumables; arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, and gene expression profiling, as well as sequencing target enrichment, genetic data management, and interpretation support software; and equipment focused on production of synthesized oligonucleotides for use as active pharmaceutical ingredients. The Agilent CrossLab segment offers GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, and software as a service, as well as asset management and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. The company was founded in 1999 and is headquartered in Santa Clara, California.",Healthcare,Diagnostics & Research
ALK,"Alaska Air Group, Inc., through its subsidiaries, provides passenger and cargo air transportation services. The company operates through three segments: Mainline, Regional, and Horizon. It has a network of approximately 1,300 daily flights to 115 destinations across the United States, Mexico, Canada, and Costa Rica. The company was founded in 1932 and is based in Seattle, Washington.",Industrials,Airlines
ARE,"Alexandria Real Estate Equities, Inc. (NYSE:ARE), an S&P 500 urban office real estate investment trust (""REIT""), is the first, longest-tenured, and pioneering owner, operator, and developer uniquely focused on collaborative life science, technology, and agtech campuses in AAA innovation cluster locations, with a total market capitalization of $27.7 billion as of June 30, 2020, and an asset base in North America of 43.0 million square feet (""SF""). The asset base in North America includes 28.8 million RSF of operating properties and 2.3 million RSF of Class A properties undergoing construction, 6.6 million RSF of near-term and intermediate-term development and redevelopment projects, and 5.3 million SF of future development projects. Founded in 1994, Alexandria pioneered this niche and has since established a significant market presence in key locations, including Greater Boston, San Francisco, New York City, San Diego, Seattle, Maryland, and Research Triangle. Alexandria has a longstanding and proven track record of developing Class A properties clustered in urban life science, technology, and agtech campuses that provide our innovative tenants with highly dynamic and collaborative environments that enhance their ability to successfully recruit and retain world-class talent and inspire productivity, efficiency, creativity, and success. Alexandria also provides strategic capital to transformative life science, technology, and agtech companies through our venture capital arm. We believe our unique business model and diligent underwriting ensure a high-quality and diverse tenant base that results in higher occupancy levels, longer lease terms, higher rental income, higher returns, and greater long-term asset value.",Real Estate,REIT—Office
ALGN,"Align Technology, Inc., a medical device company, designs, manufactures, and markets Invisalign clear aligners and iTero intraoral scanners and services for orthodontists and general practitioner dentists, and restorative and aesthetic dentistry. It operates in two segments, Clear Aligner; and Scanners and Services. The Clear Aligner segment consists of comprehensive products, including Invisalign Comprehensive treatment that addresses the orthodontic needs of teenage patients, such as mandibular advancement, compliance indicators, and compensation for tooth eruption; and Invisalign First Phase I and Invisalign First Comprehensive Phase 2 package for younger patients generally between the ages of seven and ten years, which is a mixture of primary/baby and permanent teeth. This segment's non-comprehensive products comprise Invisalign Moderate, Lite and Express packages, and Invisalign Go; and non-case products include retention products, Invisalign training fees, and sales of ancillary products, such as cleaning material, and adjusting tools used by dental professionals during the course of treatment. The Scanners and Services segment offers iTero Scanner, a single hardware platform with software options for restorative or orthodontic procedures; restorative software for general practitioner dentists, prosthodontists, periodontists, and oral surgeons; software for orthodontists for digital records storage, orthodontic diagnosis, and for the fabrication of printed models and retainers; computer-aided design/computer-aided manufacturing services and ancillary products, such as disposable sleeves for the wand; and iTero applications and tools. The company sells its products in the United States, the Netherlands, China, and internationally. Align Technology, Inc. was founded in 1997 and is headquartered in San Jose, California.",Healthcare,Medical Devices
GOOG,"Alphabet Inc. provides online advertising services in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It offers performance and brand advertising services. The company operates through Google and Other Bets segments. The Google segment offers products, such as Ads, Android, Chrome, Google Cloud, Google Maps, Google Play, Hardware, Search, and YouTube, as well as technical infrastructure. It also offers digital content, cloud services, hardware devices, and other miscellaneous products and services. The Other Bets segment includes businesses, including Access, Calico, CapitalG, GV, Verily, Waymo, and X, as well as Internet and television services. Alphabet Inc. was founded in 1998 and is headquartered in Mountain View, California.",Communication Services,Internet Content & Information
LNT,"Alliant Energy Corporation operates as a utility holding company that provides regulated electricity and natural gas services in the Midwest region of the United States. It operates through three segments: Utility Electric Operations, Utility Gas Operations, and Utility Other. The company, through its subsidiary, Interstate Power and Light Company (IPL), primarily generates and distributes electricity, and distributes and transports natural gas to retail customers in Iowa; sells electricity to wholesale customers in Minnesota, Illinois, and Iowa; and generates and distributes steam in Cedar Rapids, Iowa. Alliant Energy Corporation, through its other subsidiary, Wisconsin Power and Light Company (WPL), generates and distributes electricity, and distributes and transports natural gas to retail customers in Wisconsin; and sells electricity to wholesale customers in Wisconsin. As of December 31, 2019, IPL supplied electricity to 490,000 retail customers and natural gas to 225,000 retail customers; and WPL supplied electricity to 480,000 retail customers and natural gas to 195,000 retail customers. It offers electric utility services to retail customers in the farming, agriculture, industrial manufacturing, chemical, and packaging industries. In addition, the company holds investments in various businesses, which provide freight services through a short-line railway between Cedar Rapids and Iowa City, Iowa; a barge terminal and hauling services on the Mississippi River; customized supply chain solutions; freight and logistics brokering services; and other transfer and storage services. Further, it owns a 347 megawatt (MW) natural gas-fired electric generating unit near Sheboygan Falls, Wisconsin; and a 225 MW wind farm located in Oklahoma. Alliant Energy Corporation was founded in 1917 and is headquartered in Madison, Wisconsin.",Utilities,Utilities—Regulated Electric
GOOGL,"Alphabet Inc. provides online advertising services in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It offers performance and brand advertising services. The company operates through Google and Other Bets segments. The Google segment offers products, such as Ads, Android, Chrome, Google Cloud, Google Maps, Google Play, Hardware, Search, and YouTube, as well as technical infrastructure. It also offers digital content, cloud services, hardware devices, and other miscellaneous products and services. The Other Bets segment includes businesses, including Access, Calico, CapitalG, GV, Verily, Waymo, and X, as well as Internet and television services. Alphabet Inc. was founded in 1998 and is headquartered in Mountain View, California.",Communication Services,Internet Content & Information
ALLE,"Allegion plc manufactures and sells mechanical and electronic security products and solutions worldwide. The company offers door closers and controls; doors and door systems; electronic security products; electronic, biometric and mobile access control systems; exit devices; locks, locksets, portable locks, and key systems; time, attendance, and workforce productivity systems; and other accessories. The company sells its products and solutions to end-users in commercial, institutional, and residential facilities, including education, healthcare, government, hospitality, commercial office, and single and multi-family residential markets under the CISA, Interflex, LCN, Schlage, SimonsVoss, and Von Duprin brands. It sells its products and solutions through distribution and retail channels, such as specialty distribution, e-commerce, and wholesalers, as well as through various retail channels comprising do-it-yourself home improvement centers, on-line and e-commerce platforms, and small specialty showroom outlets. Allegion plc was incorporated in 2013 and is headquartered in Dublin, Ireland.",Industrials,Security & Protection Services
ALL,"The Allstate Corporation, through its subsidiaries, provides property and casualty, and other insurance products in the United States and Canada. The company operates through Allstate Protection, Service Businesses, Allstate Life, and Allstate Benefits segments. The Allstate Protection segment offers private passenger auto and homeowners insurance; specialty auto products, including motorcycle, trailer, motor home, and off-road vehicle insurance; other personal lines products, such as renter, condominium, landlord, boat, umbrella, and manufactured home and stand-alone scheduled personal property; liability insurance products; and commercial lines products under the Allstate, Esurance, and Encompass brand names. The Service Businesses segment provides consumer product protection plans; finance and insurance products, including vehicle service contracts, guaranteed asset protection waivers, road hazard tire and wheel, and paint less dent repair protection; roadside assistance; device and mobile data collection services; and analytic solutions using automotive telematics information and identity protection. This segment offers its products under various brands including Allstate Protection Plans, Allstate Dealer Services, Allstate Roadside Services, Arity, and Allstate Identity Protection. The Allstate Life Segment offers traditional, interest-sensitive, and variable life insurance products, as well as non-proprietary retirement product solutions offered by third-party providers. Its Allstate Benefits segment provides life, accident, critical illness, short-term disability, and other health insurance products. The company sells its products through direct contact centers, agencies, financial specialists, brokers, wholesale partners, and affinity groups, as well as through online and mobile applications. The Allstate Corporation was founded in 1931 and is based in Northbrook, Illinois.",Financial Services,Insurance—Property & Casualty
ALXN,"Alexion Pharmaceuticals, Inc. develops and commercializes various therapeutic products. The company offers ULTOMIRIS (ALXN1210/ravulizumab-cwvz), a C5 inhibitor for the treatment of paroxysmal nocturnal hemoglobinuria (PNH) and atypical hemolytic uremic syndrome (aHUS); and SOLIRIS (eculizumab), a monoclonal antibody for the treatment of PNH, aHUS, generalized myasthenia gravis (gMG), and neuromyelitis optica spectrum disorder (NMOSD). It also provides Strensiq (asfotase alfa), a targeted enzyme replacement therapy for patients with hypophosphatasia; and Kanuma (sebelipase alfa) for the treatment of patients with lysosomal acid lipase deficiency. In addition, the company is developing ALXN1210 (Intravenous) that is in Phase III clinical trials for the treatment of gMG and NMOSD; ALXN1210 (Subcutaneous), which is in Phase III clinical trials for PNH and aHUS; ALXN1810 (Subcutaneous) that is in Phase I clinical trial for renal diseases; and ALXN1720 (Subcutaneous), which is in Phase I clinical trial for the treatment of disease states involving dysregulated terminal complement activity. Further, it is developing ALXN1840 (WTX101) that is in Phase III clinical trials for the treatment of Wilson disease; and ALXN1830 and ABY-039, which are in Phase I clinical trials for neonatal Fc receptor. The company serves distributors, pharmacies, hospitals, hospital buying groups, and other healthcare providers in the United States and internationally. Alexion Pharmaceuticals, Inc. has collaboration and license agreement with Halozyme Therapeutics, Inc.; collaborations with Caelum Biosciences, Inc., Dicerna Pharmaceuticals, Inc. and Zealand Pharma A/S; strategic agreement with Caelum Biosciences, Inc.; agreement with Stealth BioTherapeutics Corp.; and a partnership with Affibody AB. The company was founded in 1992 and is headquartered in Boston, Massachusetts.",Healthcare,Biotechnology
AXP,"American Express Company, together with its subsidiaries, provides charge and credit payment card products, and travel-related services worldwide. The company operates through three segments: Global Consumer Services Group, Global Commercial Services, and Global Merchant and Network Services. Its products and services include payment and financing products; network services; expense management products and services; and lifestyle services. The company's products and services also comprise merchant acquisition and processing, servicing and settlement, point-of-sale marketing, and information products and services for merchants; and fraud prevention services, as well as the design and operation of customer loyalty programs. It sells its products and services to consumers, small businesses, mid-sized companies, and large corporations through mobile and online applications, third-party vendors and business partners, direct mail, telephone, in-house sales teams, and direct response advertising. American Express Company was founded in 1850 and is headquartered in New York, New York.",Financial Services,Credit Services
AMCR,"Amcor plc develops, manufactures, and sells various packaging products for food, beverage, medical and pharmaceutical, fresh produce, snack food, personal care, and other industries worldwide. It operates through two segments, Flexibles and Rigid Packaging. The company provides flexible packaging products, rigid packaging containers, specialty cartons, and closures. The company is headquartered in ZÃ¼rich, Switzerland.",Consumer Cyclical,Packaging & Containers
MO,"Altria Group, Inc., through its subsidiaries, manufactures and sells cigarettes, smokeless products, and wine in the United States. It offers cigarettes primarily under the Marlboro brand; cigars principally under the Black & Mild brand; and moist smokeless tobacco products under the Copenhagen, Skoal, Red Seal, and Husky brands, as well as provides on! oral nicotine pouches. The company also produces and sells varietal and blended table wines, and sparkling wines under the Chateau Ste. Michelle and 14 Hands names; owns Stag's Leap Wine Cellars, Conn Creek, Patz & Hall, and Erath wine brands; and imports and markets Antinori, Torres, and Villa Maria Estate wines, as well as Champagne Nicolas Feuillatte in the United States. In addition, it provides finance leasing services primarily in transportation, power generation, real estate, and manufacturing equipment industries. The company sells its tobacco products primarily to wholesalers, including distributors; and large retail organizations, such as chain stores. Altria Group, Inc. was founded in 1822 and is headquartered in Richmond, Virginia.",Consumer Defensive,Tobacco
