Ticker,Description
A,"
										Originally spun out of Hewlett-Packard in 1999, Agilent has evolved into a leading life sciences and diagnostics firm. Today, Agilent's measurement technologies serve a broad base of customers with its three operating segments: life science and applied tools (45% of fiscal 2019 sales), cross lab (36% of sales consisting of consumables and services related to its life science and applied tools), and diagnostics and genomics (20%). Just over half of its sales are generated from the biopharmaceutical, chemical, and energy end markets, but it also supports clinical lab, environmental, forensics, food, academic, and government-related organizations. The company is geographically diverse, with operations in the U.S. (31%) and China (20%) representing the largest country concentrations.
									"
AFL,"
										Aflac Inc offers supplemental health insurance and life insurance in the two largest insurance markets in the world, the U.S. and Japan. In addition to its cancer policies, the company has broadened its product offerings to include accidents, disability, and long-term-care insurance. It markets its products through independent distributors, selling most of its policies directly to consumers at their places of work.
									"
GOOGL,"
										Alphabet is a holding company, with Google, the Internet media giant, as a wholly owned subsidiary. Google generates 99% of Alphabet revenue, of which more than 85% is from online ads. Google’s other revenue is from sales of apps and content on Google Play and YouTube, as well as cloud service fees and other licensing revenue. Sales of hardware such as Chromebooks, the Pixel smartphone, and smart homes products, which include Nest and Google Home, also contribute to other revenue. Alphabet’s moonshot investments are in its other bets segment, where it bets on technology to enhance health (Verily), faster Internet access to homes (Google Fiber), self-driving cars (Waymo), and more. Alphabet’s operating margin has been 25%-30%, with Google at 30% and other bets operating at a loss.
									"
APD,"
										Since its founding in 1940, Air Products has become one of the leading industrial gas suppliers globally, with operations in 50 countries and 19,000 employees. The company is the largest supplier of hydrogen and helium in the world. It has a unique portfolio serving customers in a number of industries, including chemicals, energy, healthcare, metals, and electronics. Air Products generated $8.9 billion in revenue in fiscal 2019.
									"
ACN,"
										Accenture is a leading global IT services firm that provides consulting, strategy, and technology and operational services. These services run the gamut from aiding enterprises with digital transformation, to procurement services, to software system integration. The company provides its IT offerings to a variety of sectors, including communications, media and technology, financial services, health and public services, consumer products, and resources. Accenture employs just under 500,000 people throughout 200 cities in 51 countries.
									"
LNT,"
										Alliant Energy is the parent of two regulated utilities, Interstate Power and Light and Wisconsin Power and Light, serving nearly 1 million electricity and 400,000 natural gas customers. Both subsidiaries engage in the generation and distribution of electricity and the distribution and transportation of natural gas. Alliant also owns a 16% interest in American Transmission Co.
									"
AAP,"
										Advance Auto Parts is one of the industry’s largest retailers of aftermarket automotive parts, tools, and accessories to do-it-yourself customers in North America. Advance operated 5,037 stores as of the end of 2019, in addition to servicing 1,253 independently owned Carquest stores. The company’s Worldpac unit is a premier distributor of imported original-equipment parts. Advance derived 60% of its 2019 sales from commercial clients, up from 30%-40% before the General Parts deal.
									"
ARE,"
										Alexandria Real Estate Equities Inc is a real estate investment trust primarily engaged in the acquisition, development, and leasing of urban offices on science and technology campuses throughout the United States. The company redevelops offices, warehouses, and shell space for its tenants in areas close to high concentrations of specialized research institutions and businesses. The majority of Alexandria's real estate portfolio is split between the Greater Boston and San Francisco areas. The company derives nearly all of its income in the form of revenue from its tenant companies. Alexandria's largest customers in terms of revenue are public biotechnology, multinational pharmaceutical, life science product, and academic and medical research entities.
									"
GOOG,"
										Alphabet is a holding company, with Google, the Internet media giant, as a wholly owned subsidiary. Google generates 99% of Alphabet revenue, of which more than 85% is from online ads. Google’s other revenue is from sales of apps and content on Google Play and YouTube, as well as cloud service fees and other licensing revenue. Sales of hardware such as Chromebooks, the Pixel smartphone, and smart homes products, which include Nest and Google Home, also contribute to other revenue. Alphabet’s moonshot investments are in its other bets segment, where it bets on technology to enhance health (Verily), faster Internet access to homes (Google Fiber), self-driving cars (Waymo), and more. Alphabet’s operating margin has been 25%-30%, with Google at 30% and other bets operating at a loss.
									"
ALK,"
										Alaska Air Group Inc operates two subsidiaries and offers 46 million passengers yearly service to more than 115 destinations along the West Coast, Mexico, and Canada. Alaska Airlines, its major airline, operates a 233 all-jet fleet, while Horizon Air, its regional airline, flies 65 turboprops and jet aircraft. The firm earns ancillary revenue by providing freight and mail services. Alaska employees 23,000 workers and generates about $8 billion in annual revenue.
									"
ALLE,"
										Allegion is a global security products company with a portfolio of leading brands, such as Schlage, Von Duprin, and LCN. The Ireland-domiciled company was created via a spin-off transaction from Ingersoll-Rand in December 2013. In fiscal 2019, Allegion generated 74% of sales in the Americas, 20% of sales in Europe, the Middle East, India, and Africa, and 6% of sales in Asia-Pacific. The company mainly competes with Swedish-based Assa Abloy AB, Switzerland-based Dormakaba, and U.S.-based Spectrum Brands.
									"
ALB,"
										Albemarle is the world's largest lithium producer. Our outlook for robust lithium demand is predicated upon increased demand for electric vehicle batteries. Albemarle produces lithium from its salt brine deposits in Chile and the U.S. and its hard rock joint venture mines in Australia. Albemarle is also a global leader in the production of bromine, used in flame retardants, and oil refining catalysts.
									"
AES,"
										AES is a global power company with businesses in 14 countries. It has a portfolio of more than 100 power plants and wind and solar farms. Its current construction program will increase its net generating capacity to over 35 gigawatts. AES also has majority ownership and operates six electric utilities distributing power to 2.4 million customers in the U.S. and El Salvador. AES is one of the world leaders in utility-scale energy storage in its Fluence joint venture with Siemens.
									"
AMZN,"
										Amazon is among the world's highest-grossing online retailers, with $281 billion in net sales and approximately $365 billion in estimated physical/digital gross merchandise volume (GMV) in 2019. Online product and digital media sales accounted for 50% of net revenue in 2019, followed by commissions, related fulfillment and shipping fees, and other third-party seller services (19%), Amazon Web Services' cloud computing, storage, database, and other offerings (13%), Prime membership fees and other subscription-based services (7%), product sales at Whole Foods and other physical store retail formats (6%), and advertising services and cobranded credit cards (5%). International segments constituted 27% of Amazon's non-AWS sales in 2019, led by Germany, the United Kingdom, and Japan.
									"
AEP,"
										American Electric Power is one of the largest regulated utilities in the United States, providing electricity generation, transmission, and distribution to more than 5 million retail customers in 11 states. About 45% of AEP's of capacity is coal, with the remainder from a mix of natural gas (28%), renewables (17%), nuclear (7%), and demand response (3%). Vertically integrated utilities, transmission and distribution utilities, competitive transmission, and unregulated generation and marketing support earnings.
									"
AAL,"
										American Airlines is the world's largest airline by scheduled revenue passenger miles. The firm's major hubs are Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C. After completing a major fleet renewal, the company has the youngest fleet of U.S. legacy carriers.
									"
MO,"
										Altria comprises Philip Morris USA, U.S. Smokeless Tobacco, John Middleton, Ste. Michelle Wine Estates, Nu Mark, and Philip Morris Capital. It holds a 10.2% interest in the world's largest brewer, Anheuser-Busch InBev. Through its tobacco subsidiaries, Altria holds the leading position in cigarettes and smokeless tobacco in the United States and the number-two spot in machine-made cigars. The company's Marlboro brand is the leading cigarette brand in the U.S. with a 40% share.
									"
AMCR,"
										Amcor is a global plastics packaging behemoth, with global sales of USD 12.9 billion anticipated in fiscal 2020 following the acquisition of Bemis in June 2019. Amcor’s operations span 43 countries globally and include significant emerging-market exposure equating to circa 20% of sales. Amcor’s capabilities span flexible and rigid plastic packaging, which sell into defensive food, beverage, healthcare, household, and personal-care end markets.
									"
ALL,"
										On the basis of premium sales, Allstate is one of the largest U.S. property-casualty insurers. Personal auto represents the largest percentage of revenue, but the company offers homeowners insurance and other insurance products. Life insurance contributes about 10% of revenue. Allstate products are sold in North America primarily by about 10,000 company agencies.
									"
AMGN,"
										Amgen is a leader in biotechnology-based human therapeutics, with historical expertise in renal disease and cancer supportive-care products. Flagship drugs include red blood cell boosters Epogen and Aranesp, immune system boosters Neupogen and Neulasta, and Enbrel and Otezla for inflammatory diseases. Amgen introduced its first cancer therapeutic, Vectibix, in 2006 and received approval for bone-strengthening drug Prolia/Xgeva in 2010. Amgen's acquisition of Onyx bolstered the firm's therapeutic oncology portfolio with Nexavar and Kyprolis. Recent launches include Repatha (cholesterol-lowering) and Aimovig (migraine).
									"
ANSS,"
										Ansys is an engineering software company that provides simulation capabilities for structural, fluids, semiconductor power, embedded software, optical, and electromagnetic properties. Ansys employs over 4,000 people and serves over 50,000 customers globally, including those in aerospace defense and automotive.
									"
ADI,"
										Analog Devices is a leading analog, mixed signal, and digital signal processing chipmaker. The firm has a significant market share lead in converter chips, which are used to translate analog signals to digital and vice versa. The company serves tens of thousands of customers, and more than half of its chip sales are made to industrial and automotive end markets. Analog Devices' chips are also incorporated into wireless infrastructure equipment.
									"
AIG,"
										American International Group is one of the largest insurance and financial services firms in the world and has a global footprint. It operates through a wide range of subsidiaries that provide property, casualty, and life insurance. Its revenue is split roughly evenly between commercial and consumer lines.
									"
AWK,"
										Founded in 1886, American Water Works is the largest investor-owned U.S. water and wastewater utility, serving approximately 3.5 million customers in 16 states. It provides water and wastewater services to residential, commercial, and industrial customers and operates predominantly in regulated markets, which account for about 90% of earnings. Its nonregulated market-based businesses provide complementary water and wastewater services for military bases, municipalities, oil and gas exploration and production companies, and other industrial customers.
									"
AXP,"
										American Express is a global financial institution, operating in about 130 countries, that provides consumers and businesses charge and credit card payment products. The company operates a highly profitable merchant payment network. Since 2018, the company has operated in three segments: global consumer services, global commercial services, and global merchant and network services. In addition to payment products, the company's commercial business offers expense management tools, consulting services, and business loans.
									"
AEE,"
										Ameren owns rate-regulated generation, transmission, and distribution networks that deliver electricity and natural gas in Missouri and Illinois. It serves nearly 2.5 million electricity customers and roughly 1.0 million natural gas customers.
									"
AMP,"
										Spun off from American Express in 2005, Ameriprise Financial has emerged as a major player in the U.S. market for asset and wealth management, with around $970 billion in total assets under management and advisement at the end of 2019. While the company maintains a meaningful presence in annuities and life insurance, it has become an increasingly smaller contributor to earnings as the company's asset and wealth management divisions have grown to over 70% of revenue. Ameriprise has one of the largest branded advisor networks in the industry.
									"
AMT,"
										American Tower owns and operates roughly 180,000 cell towers throughout the U.S., Asia, Latin America, Europe, and the Middle East. It leases space on its towers to wireless service providers, which install equipment on the towers to support their wireless networks. The company has a very concentrated customer base, with most revenue in each market being generated by just the top few mobile carriers. The company operates more than 40,000 towers in the U.S., which accounted for more than half of its total revenue in 2019. Outside the U.S., American Tower’s greatest presence is in India and Brazil, where it operates roughly 75,000 and 19,000 towers, respectively. American Tower operates as a real estate investment trust.
									"
AAPL,"
										Apple designs a wide variety of consumer electronic devices, including smartphones (iPhone), tablets (iPad), PCs (Mac), smartwatches (Apple Watch), and TV boxes (Apple TV), among others. The iPhone makes up the majority of Apple’s total revenue. In addition, Apple offers its customers a variety of services such as Apple Music, iCloud, Apple Care, Apple TV+, Apple Arcade, Apple Card, and Apple Pay, among others. Apple's products run internally developed software and semiconductors, and the firm is well known for its integration of hardware, software and services. Apple's products are distributed online as well as through company-owned stores and third-party retailers. The company generates about 40% of its revenue from the Americas, with the remainder earned internationally.
									"
APA,"
										Apache, based in Houston, is one of the largest independent exploration and production companies in the world. It operates primarily in the U.S., Egypt, the North Sea, and Suriname. At year-end 2019, proved reserves totaled 1.0 billion barrels of oil equivalent, with net reported production of 417 mboe/d (68% of which was oil and natural gas liquids, with the remainder comprising natural gas).
									"
AME,"
										Ametek is a diversified industrial conglomerate with about $5 billion in sales. The firm operates through two segments: electronic instruments, or EIG, and electromechanical, or EMG. EIG designs and manufactures differentiated and advanced instruments for the process, aerospace, power, and industrial end markets. EMG is a focused, niche supplier of highly engineered automation solutions, thermal management systems, specialty metals, and electrical interconnects, among other products. About half of the firm’s sales are made in the United States. The firm’s asset-light strategy in place for nearly two decades emphasizes growth through acquisitions, new product development through research and development, driving operational efficiencies, and global and market expansion.
									"
AMAT,"
										Applied Materials is one of the world's largest suppliers of semiconductor manufacturing equipment, providing materials engineering solutions to help make nearly every chip in the world. The firm's systems are used in nearly every major process step with the exception of lithography. Key tools include those for chemical and physical vapor deposition, etching, chemical mechanical polishing, wafer- and reticle-inspection, critical dimension measurement, and defect-inspection scanning electron microscopes.
									"
ANTM,"
										Anthem is one of the largest private health insurance organizations nationwide, providing medical benefits to roughly 42 million medical members. The company offers employer, individual, and government-sponsored coverage plans. Anthem differs from its peers in its unique position as the largest single provider of Blue Cross Blue Shield branded coverage, operating as the licensee for the Blue Cross Blue Shield Association in 14 states. Through acquisitions, such as the Amerigroup deal in 2012, Anthem's reach expands beyond those states through government-sponsored programs such as Medicaid, too.
									"
ABC,"
										AmerisourceBergen is a leading global third-party logistics provider engaged in wholesale pharmaceutical sourcing and distribution of specialty, brand-name, and generic pharmaceuticals and related services to acute-care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and alternate site pharmacies, physician practices, dialysis clinics, and other healthcare customers. By acquiring smaller companies, management has attained the ability to transport biopharmaceuticals, distribute veterinary pharmaceuticals and vaccines, and provide inventory and reimbursement consulting services to providers.
									"
APH,"
										Amphenol is a leading designer and manufacturer of connectors, cables, and sensor-based products. Its products are used primarily to transmit electrical and optical signals for a wide range of electronic applications. Primary end markets include voice, video, and data communication systems, commercial and military aerospace electronics, industrial factory automation equipment, mobile devices, and transportation applications.
									"
AOS,"
										A.O. Smith Corporation manufactures and markets comprehensive lines of residential and commercial gas, gas tankless, and electric water heaters. Supplementary products include water heating equipment, condensing and noncondensing boilers, and water system tanks. The company's two operating segments are by geographic region: North America (majority of total revenue) and Rest of World. A material portion of sales in North America derive from replacing existing products, and the company utilizes a wholesale distribution channel and multiple selling locations. The Rest of World segment sells primarily to Asian countries, and operates sales offices to expand distribution and market its product portfolio.
									"
AIV,"
										Apartment Investment and Management Co. owns a portfolio of 125 apartment communities with almost 33,000 units and is currently developing seven additional properties with 1,297 units. The company focuses on owning large, high-quality properties in the urban and suburban submarkets of Atlanta, Boston, Chicago, Denver, Los Angeles, Miami, New York, Philadelphia, San Diego, San Francisco, Seattle, and Washington, D.C..
									"
ANET,"
										Arista Networks is a software and hardware provider for the networking solutions sector. Operating as one business unit, software, switching, and router products are targeted for high-performance networking applications, while service revenue comes from technical support. Customer markets include data centers, enterprises, service providers, and campuses. The company is headquartered in Santa Clara, California, and generates most of its revenue in the Americas. It also sells into Europe, the Middle East, Africa, and Asia-Pacific.
									"
ADP,"
										ADP competes in the human resources administration services industry. It provides services that satisfy companies' human resources needs, such as payroll processing and benefits administration. ADP was founded in 1949 and has its headquarters in Roseland, New Jersey.
									"
ADSK,"
										Founded in 1982, Autodesk is an application software company that serves industries in architecture, engineering, and construction; product design and manufacturing; and media and entertainment. Autodesk software enables design, modeling, and rendering needs of these industries. The company has over 4 million paid subscribers across 180 countries.
									"
AIZ,"
										Assurant Inc offers a range of property-casualty, health, employee benefit, and warranty insurance to a client base made up of individuals and institutions. The company has four reportable segments namely Global Housing, Global Lifestyle, Global Preneed and Total Corporate and Other. Global Housing segment provides lender-placed homeowners, manufactured housing, flood insurance, and other related products, Global Lifestyle provides mobile device protection and related services, Global Preneed is engaged in providing pre-funded funeral insurance and annuity products whereas Total Corporate and others includes activities related to holding company primarily related to the company's frozen benefit plans. It generates a majority of its revenue from the Global Lifestyle Segment.
									"
T,"
										Wireless communication remains AT&T's largest business, contributing nearly 40% of revenue. As the second- largest U.S. wireless carrier, AT&T connects more than 100 million devices, including 63 million postpaid and 16 million prepaid phone customers. The consumer and entertainment segment (about 25% of revenue) includes the consumer fixed-line and DirecTV satellite television businesses, serving 20 million television and 14 million Internet access customers. WarnerMedia now contributes a bit less than 20% of revenue with media assets that include HBO, the Turner cable networks, and the Warner Brothers studios. Fixed-line business communications (14%), Latin American satellite television (2%), and Mexican wireless services (1%) constitute the remainder of the firm.
									"
AON,"
										Aon is a leading global provider of insurance and reinsurance brokerage and human resource solutions. Its operations are tilted toward its brokerage operations. Headquartered in London, Aon has about 50,000 employees and operations in 120 countries around the world.
									"
APTV,"
										Aptiv’s Signal and Power Solutions segment supplies components and systems that make up a vehicle’s electrical system backbone, including wiring assemblies and harnesses, connectors, electrical centers, and hybrid electrical systems. The Advanced Safety and User Experience segment provides body controls, infotainment and connectivity systems, passive and active safety electronics, advanced driver-assist technologies, and displays, as well as the development of software for these systems. Aptiv's largest customer is GM at roughly 13% of revenue, including sales to GM’s Shanghai joint venture. North America and Europe represented approximately 38% and 33% of total 2019 revenue, respectively.
									"
ADM,"
										Archer Daniels Midland is a major processor of oilseeds, corn, wheat, and other agricultural commodities. Additionally, the company owns an extensive network of logistical assets to store and transport crops around the globe. Its end products include vegetable oil and meal, corn sweeteners, flour, feed ingredients, ethanol, and natural flavors.
									"
AJG,"
										Arthur J. Gallagher & Co provides insurance brokerage and consulting services to middle-market entities around the world. The majority of the company's revenue comes from its brokerage segment, where it negotiates and places its customers with insurance companies that provide, among other types, property/casualty and health insurance. The company's primary source of revenue in the brokerage segment is commissions from the insurance companies. The company also generates significant revenue in its corporate segment, which includes clean energy investment and other investment income. The company generates most of its revenue in the United States, with the remaining revenue coming primarily from Australia, Bermuda, Canada, the Caribbean, New Zealand, and the United Kingdom.
									"
AVB,"
										AvalonBay Communities owns a portfolio of 275 apartment communities with over 75,000 units and is developing 22 additional properties with over 7,500 units. The company focuses on owning large, high-quality properties in major metropolitan areas of New England, New York/New Jersey, Washington D.C., California, and the Pacific Northwest.
									"
ATO,"
										Atmos Energy is the largest publicly traded, fully regulated, pure-play natural gas utility in the United States, serving more than 3 million customers in Texas, Colorado, Kansas, Kentucky, Louisiana, Mississippi, Tennessee, and Virginia. About 70% of its earnings come from Texas, where it distributes natural gas in northern Texas, including Dallas, and has a 5,700-mile intrastate gas transmission pipeline spanning several key shale gas formations and interconnected with five storage facilities.
									"
AVY,"
										Avery Dennison manufactures pressure-sensitive materials, merchandise tags, and labels. The company also runs a specialty converting business that produces radio-frequency identification inlays and labels. Avery Dennison draws a significant amount of revenue from outside the United States, with international operations accounting for the majority of total sales.
									"
BKR,"
										Baker Hughes in its current form originated in 2017 from the merger of Baker Hughes with GE Oil & Gas. Baker Hughes’ history of oilfield innovation stretches back over a century, and with the combination with GE, the company now can offer the full spectrum of services to oil and gas companies, from upstream to downstream.
									"
BLL,"
										Ball is the world's largest metal can manufacturer. The company remains focused on both cost reductions associated with its acquisition of Rexam, and on pivoting toward faster-growing emerging-market economies in beverage cans. Ball maintains a small presence in both the North American food can market and the U.S. defense industry through its aerospace segment.
									"
AZO,"
										AutoZone is the premier seller of aftermarket automotive parts, tools, and accessories to do-it-yourself customers in the United States. The company derives an increasing proportion of its sales from domestic commercial customers, just over 20% in fiscal 2019, and has a growing presence in Mexico and Brazil. AutoZone had 6,411 stores in the U.S. (5,772), Mexico (604), and Brazil (35) as of the end of fiscal 2019.
									"
BAC,"
										Bank of America is one of the largest financial institutions in the United States, with more than $2.3 trillion in assets. It is organized into four major segments: consumer banking, global wealth and investment management, global banking, and global markets. Bank of America's consumer-facing lines of business include its network of branches and deposit-gathering operations, home mortgage lending, vehicle lending, credit and debit cards, and small-business services. The company's Merrill Lynch operations provide brokerage and wealth management services, as does U.S. Trust private bank. Wholesale lines of business include investment banking, corporate and commercial real estate lending, and capital markets operations. Bank of America has operations in several countries.
									"
BIIB,"
										Biogen and Idec merged in 2003, combining forces to market Biogen's multiple sclerosis drug Avonex and Idec's cancer drug Rituxan. Today, Rituxan and next-generation antibody Gazyva are marketed via a collaboration with Roche. Biogen also markets novel MS drugs Plegridy, Tysabri, Tecfidera, and Vumerity. In Japan, Biogen's MS portfolio is co-promoted by Eisai. Hemophilia therapies Eloctate and Alprolix (partnered with SOBI) were spun off as part of Bioverativ in 2017. Biogen has several drug candidates in phase 3 trials in neurology and neurodegenerative diseases and has launched Spinraza with partner Ionis.
									"
BRK.B,"
										Berkshire Hathaway is a holding company with a wide array of subsidiaries engaged in diverse activities. The firm's core business segment is insurance, run primarily through Geico, Berkshire Hathaway Reinsurance Group and Berkshire Hathaway Primary Group. Berkshire has used the excess cash thrown off from these and its other operations over the years to acquire Burlington Northern Santa Fe (railroad), Berkshire Hathaway Energy (utilities and energy distributors), and the firms that make up its manufacturing, service, and retailing operations (which include five of Berkshire's largest noninsurance pretax earnings generators: Precision Castparts, Lubrizol, Clayton Homes, Marmon and IMC/ISCAR). The conglomerate is unique in that it is run on a completely decentralized basis.
									"
BK,"
										BNY Mellon is a global investment company involved in the management and servicing of financial assets throughout the investment lifecycle. The bank provides financial services for institutions, corporations, and individual investors, and delivers investment management and investment services in 35 countries and more than 100 markets. BNY Mellon is the largest global custody bank in the world, with over $37 trillion in under custody and administration (as of June 30, 2020), and can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute, or restructure investment.
									"
BDX,"
										Becton, Dickinson is the world's largest manufacturer and distributor of medical surgical products, such as needles, syringes, and sharps-disposal units. The company also manufactures diagnostic instruments and reagents, as well as flow cytometry and cell-imaging systems. BD Interventional (largely the former Bard business) accounts for 23% of revenue. International revenue accounts for 44% of the company's business.
									"
BKNG,"
										Booking is the world’s largest online travel agency by revenue, offering booking services for hotel and vacation rooms, airline tickets, rental cars, restaurant reservations, cruises, experiences, and other vacation packages. The company operates a number of branded travel booking sites, including Priceline.com, Booking.com, Agoda, OpenTable, and Rentalcars.com, and has expanded into travel media with the acquisitions of Kayak and Momondo. Transaction fees for online bookings account for the bulk of revenue and profits.
									"
BIO,"
										Bio-Rad Laboratories, headquartered in Hercules, California, develops, manufactures, and markets products and solutions for the clinical diagnostics and life sciences markets. In diagnostics (60% of sales), Bio-Rad manufactures, sells, and supports test systems and specialized quality controls for clinical laboratories. In life sciences (40% of sales), the firm develops and manufactures a range of instruments and reagents used in research, biopharmaceutical production, and food testing. The company is geographically diverse, with major markets in the United States (40% of 2019 sales), Europe (33%), and Asia (22%), with Canada and Latin America accounting for the bulk of the remaining 5%. Bio-Rad owns 37% of Sartorius AG, a laboratory and biopharmaceutical supplier.
									"
AVGO,"
										Broadcom--the combined entity of Broadcom and Avago--boasts a highly diverse product portfolio across an array of end markets. Avago focused primarily on radio frequency filters and amplifiers used in high-end smartphones, such as the Apple iPhone and Samsung Galaxy devices, in addition to an assortment of solutions for wired infrastructure, enterprise storage, and industrial end markets. Legacy Broadcom targeted networking semiconductors, such as switch and physical layer chips, broadband products (such as television set-top box processors), and connectivity chips that handle standards such as Wi-Fi and Bluetooth. The company has acquired Brocade, CA Technologies, and Symantec's enterprise security business to bolster its offerings in infrastructure software and security.
									"
BBY,"
										Best Buy is one of the largest consumer electronics retailers in the U.S., with product and service sales representing 9.3% of the $450 billion-plus in personal consumer electronics and appliances expenditures in 2019 based on estimates from the U.S. Bureau of Economic Analysis. The company is focused on accelerating online sales growth, improving its multichannel customer experience, developing new in-store and in-home service offerings, optimizing its U.S., Canada, and Mexico retail store square footage, lowering cost of goods sold through supply-chain efficiencies, and reducing selling, general, and administrative costs.
									"
BLK,"
										BlackRock is one of the largest asset managers in the world, with $7.318 trillion in AUM at the end of June 2020. Product mix is fairly diverse, with 48% of the firm's managed assets in equity strategies, 33% in fixed income, 8% in multi-asset class, 8% in money market funds, and 3% in alternatives. Passive strategies account for around two thirds of long-term AUM, with the company's iShares ETF platform maintaining a leading market share domestically and on a global basis. Product distribution is weighted more toward institutional clients, which by our calculations account for close to 80% of AUM. BlackRock is also geographically diverse, with clients in more than 100 countries and more than one third of managed assets coming from investors domiciled outside the U.S. and Canada.
									"
BAX,"
										Baxter manufactures medical products across seven major reported business segments. The renal segment (32% of 2019 sales) includes peritoneal dialysis and hemodialysis products for chronically ill patients while its acute therapies segment (5%) offers kidney or other organ support tools in intensive care situations. The medication delivery segment (25% of sales) sells IV pumps, administrative sets, and solutions while its nutrition segment (8% of sales) offers parenteral nutrition therapies. The pharmaceuticals segment (19% of sales) offers injectable drugs, anesthetic gases, and compounding services. The advanced surgery segment (8% of sales) provides hemostastic products and biosurgical sealants. Contract manufacturing rounds out the remaining sales.
									"
BA,"
										Boeing is the world's largest aerospace and defense firm. With headquarters in Chicago, the firm operates in four segments, commercial airplanes, defense, space & security, global services, and Boeing capital. Boeing's commercial airplanes segment produces about 60% of sales and two-thirds of operating profit, and it competes with Airbus in the production of aircraft ranging from 130 seats upwards. Boeing's defense, space & security segment competes with Lockheed, Northrop, and several other firms to create military aircraft and weaponry. The defense segment produces about 25% of sales and 13% of operating profit, respectively. Boeing's global services segment provides aftermarket servicing to commercial and military aircraft and produces about 15% of sales and 21% of operating profit.
									"
BXP,"
										Boston Properties owns over 150 properties consisting of approximately 48 million rentable square feet of space. The portfolio is dominated by office buildings and is spread across major cities such as New York, Boston, San Francisco, and the Washington, D.C., region, along with a newly established presence in Los Angeles. The real estate investment trust also owns limited retail, hotel, and residential properties.
									"
