Ticker,Description
AAXN,"Axon Enterprise, Inc. is a Scottsdale, Arizona-based company which develops technology and weapons products for law enforcement and civilians. Its initial product and former namesake is Taser, a line of electroshock weapons. The company has since diversified into technology products for law enforcement, including a line of body cameras and Evidence.com, a cloud-based digital evidence platform. As of 2017, body cameras and associated services comprise a quarter of Axon's overall business."
ABBV,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.
ABC,"AmerisourceBergen Corporation is an American drug wholesale company that was formed by the merger of Bergen Brunswig and AmeriSource in 2001. They provide drug distribution and related services designed to reduce costs and improve patient outcomes. They also distribute a line of brand name and generic pharmaceuticals, over-the-counter (OTC) health care products and home health care supplies and equipment to health care providers throughout the United States, including acute care hospitals and health systems, independent and chain retail pharmacies, mail-order facilities, physicians, clinics and other alternate site facilities, as well as nursing and assisted living centers. They also provide pharmaceuticals and pharmacy services to long-term care, workers' compensation and specialty drug patients. AmerisourceBergen is a market leader in pharmaceutical distribution handling about 20% of all of the pharmaceuticals sold and distributed throughout the country and ranked 10th on the Fortune 500 list for 2019 with over $153 billion in annual revenue. In 2012, the firm was the largest by revenue based in Pennsylvania."
ABCB,"Ameris Bancorp is a bank holding company headquartered in Atlanta. Through its bank subsidiary, Ameris Bank, the company operates branches in Georgia, Alabama, Florida, and South Carolina."
ABEO,
ABG,"Asbury Automotive Group is a company based in Atlanta and was founded in 1995.  The company operates auto dealerships in various parts of the United States. As of 2018 its rank in the Fortune 500 is 434 out of 500.As of December 2016, it is one of the largest automobile retailers in the United States, operating 96 franchises (80 dealership locations) in 18 metropolitan markets within 10 states. As of August 2017, its dealerships represent 29 American, European and Asian brands. In 2016, the company reported revenues of $6.5 billion and sold over 180,000 retail vehicles. Currently based out of Duluth, GA, the company is led by President & CEO, David W. Hult.In February 2017, Asbury finalized the acquisition of Hare Chevrolet and Hare Isuzu Truck Center, operating in Noblesville, IN.In March 2017, Asbury finalized the opening of Nalley Nissan Cumming, an open point awarded to Asbury in Metro Atlanta.On August 22, 2017, Monaghan announced that he will step down from his position at Asbury effective January 2018, to be replaced by chief operating officer David Hult.On January 9, 2018, Asbury finalized the acquisition of Terry Lee Honda in Avon, IN, adding a second location to their Hare Automotive brand.In February 2019, Asbury agreed to acquire the four-location Bill Estes Auto Group.In December 2019, Asbury agreed to buy Park Place Dealerships for $1 Billion.  On March 24, it was announced the deal is canceled amid covid concerns. Asbury to pay $30 million in termination fees"
ABM,"ABM Industries Inc. is a facility management provider in the United States. ABM was founded in 1909 by Morris Rosenberg in San Francisco, California, as a single-person window washing business. As of 2013 the company is one of the largest facility management providers with over 130,000 employees, over 350 offices, and various international locations."
ABMD,"Abiomed is a publicly-traded medical devices company that develops and manufactures the circulatory support device Impella, the world’s smallest heart pump. The company is headquartered in Danvers, Massachusetts and has three additional offices, two in Germany in the cities of Berlin and Aachen, and another in Tokyo, Japan. Michael R. Minogue is Chairman, CEO & President of the company, with Dr. Thorsten Siess as Chief Technology Officer, Dr. Chuck Simonton as Chief Medical Officer and Dr. David M. Weber as Chief Operating Officer. According to Bloomberg, the company ""engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides continuum of care to heart failure patients"". As of 2019, the company had secured five FDA approvals and 715 patents with 622 pending. For fiscal year 2019, Abiomed reported $769.4 million in revenue and reported diluted earnings per share was $5.61 for the year."
ABT,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013. Among its well-known products across the medical devices, diagnostics, and nutrition product divisions are Pedialyte, Similac, Ensure, Glucerna, ZonePerfect, FreeStyle Libre, i-STAT and MitraClip."
ABTX,
AC,"Capital Group is an American financial services company. It ranks among the world's oldest and largest investment management organizations, with over $2 trillion in assets under management. Founded in Los Angeles, California in 1931, it is privately held and has offices around the globe in the Americas, Asia, Australia and Europe. Capital offers a range of products focused on active management, including more than 40 mutual funds through its subsidiary, American Funds Distributors, as well as separately managed accounts (or collective investment trusts), private equity, investment services for high net worth investors in the U.S., and a range of other offerings for institutional clients and individual investors globally."
ACA,
ACAD,"Acadia Pharmaceuticals Inc. is a biopharmaceutical company headquartered in Sorrento Valley, San Diego, California."
ACBI,
ACC,"American Campus Communities Inc. is a publicly traded real estate investment trust that invests in dormitory housing. As of December 31, 2019, the company owned and/or managed 203 properties with approximately 139,300 beds, making it the largest private dormitory manager in the United States. The company owns and develops both off-campus and on-campus dormitories for universities that outsource the financial responsibility of dormitory construction and management."
ACCO,ACCO Brands Corporation is an American manufacturer of office products. It was created by the merger of ACCO World from Fortune Brands with General Binding Corporation (GBC).
ACER,"Acorda Therapeutics, Inc. is an American biotechnology company based in Ardsley, New York. The company develops therapies that improve neurological function in people with Parkinson’s disease, multiple sclerosis and other neurological disorders. Acorda Therapeutics manufactures and markets the drugs Inbrija (levodopa inhalation powder) and Ampyra (dalfampridine) in the United States."
ACGL,"Arch Capital Group Ltd. (Arch Capital or ACGL) is a Bermuda-based public limited liability company which writes insurance, reinsurance and mortgage insurance on a worldwide basis, with a focus on specialty lines, the segment of the insurance industry where the more difficult and unusual risks are written. It has operations in Bermuda, the United States, Canada, Europe, and Australia and, in the case of mortgage insurance, Hong Kong."
ACHC,"Acadia Healthcare is a multinational behavioral healthcare provider. It operates a network of over 584 facilities across the United States, United Kingdom, and Puerto Rico. Acadia provides behavioral health and addiction services to its patients in a variety of settings, including inpatient psychiatric hospitals, residential treatment centers, outpatient clinics and therapeutic school-based programs. The company was founded in January 2005, and is headquartered in Franklin, Tennessee."
ACIA,
ACIW,"ACI Worldwide Inc. (NASDAQ: ACIW) is a payment systems company headquartered in Naples, Florida. ACI develops a broad line of software focused on facilitating real-time electronic payments. These products and services are used globally by banks, financial intermediaries such as third-party electronic payment processors, payment associations, switch interchanges, merchants, corporations, and a wide range of transaction-generating endpoints, including automated teller machines (“ATM”), merchant point of sale (“POS”) terminals , bank branches, mobile phones, tablet computers, corporations, and internet commerce sites."
ACLS,"Axcelis Technologies, Inc. is an American company engaging in the design, manufacture, and servicing of capital equipment for the semiconductor manufacturing industry worldwide. It produces ion implantation systems, including high and medium current implanters, and high energy implanters, and curing systems used in the fabrication of semiconductor chips. The company was incorporated in 1995 and is headquartered in Beverly, Massachusetts, United States. In 2000, Eaton Corporation spun off its semiconductor manufacturing equipment business as Axcelis Technologies.On December 4, 2012 Axcelis Technologies decided ""...that it will exit the dry-strip business and divest its dry-strip intellectual property and technology, including the advanced non-oxidizing process technology of its Integra product line, to Lam Research,...Axcelis will continue to ship its 300 mm dry-strip products through August 2013..."" In 2015, Axcelis sold its headquarters in a leaseback agreement."
ACM,"AECOM ( ay-ee-KOM) (formerly AECOM Technology Corporation) is an American multinational engineering firm. AECOM has approximately 87,000 employees, and is number 157 on the 2019 Fortune 500 list.The company's official name from 1990 to 2015 was AECOM Technology Corporation, and is now AECOM. The company is listed on the New York Stock Exchange (NYSE) under the ticker symbol ACM and on the Frankfurt Stock Exchange under the ticker symbol E6Z."
ACN,"Accenture plc is a multinational professional services company. A Fortune Global 500 company, it reported revenues of $43.2 billion in 2019 and had 492,000 employees, serving clients in more than 120 countries. In 2015, the company had about 150,000 employees in India, 48,000 in the US, and 50,000 in the Philippines. Accenture's current clients include 91 of the Fortune Global 100 and more than three-quarters of the Fortune Global 500.On 11 July 2019, Accenture appointed Julie Sweet as their new chief executive officer. She accepted her office on 1 September 2019.It has been incorporated in Dublin, Ireland since 2009."
ACNB,
ACOR,"Acorda Therapeutics, Inc. is an American biotechnology company based in Ardsley, New York. The company develops therapies that improve neurological function in people with Parkinson’s disease, multiple sclerosis and other neurological disorders. Acorda Therapeutics manufactures and markets the drugs Inbrija (levodopa inhalation powder) and Ampyra (dalfampridine) in the United States."
ACRE,
ACRS,
ACRX,
ACTG,"Acacia Research Corporation, founded in 1993, is an American company based in Irvine, California. Acacia partners with patent owners such as inventors and universities to license patents that are infringed. Roughly, 95% of the company's business involves licensing infringed patents on behalf of patent owners to some of the world's largest corporations through patent litigation.Acacia creates a subsidiary company that acts as a special purpose entity for each set of patents that it enforces. The patent owner assigns the infringed patents to the subsidiary and the subsidiary then licenses the patents to companies who are infringing. Acacia and the patent owner split any revenues generated from licensing the patents on a 50/50 basis.Since the year 2000, Acacia has generated $1.4 Billion in revenue from licensing patents and has paid out over $731 Million to inventors and other patent owners. The company has formed 233 known subsidiaries and has litigated 1,412 cases, four of which were not through a subsidiary."
ADBE,"Adobe Inc. ( ə-DOH-bee) is an American multinational computer software company. Incorporated in Delaware  and headquartered in San Jose, California, it has historically focused upon the creation of multimedia and creativity software products, with a more recent foray towards digital marketing software. Adobe is best known for its Adobe Flash web software ecosystem, Photoshop image editing software, Adobe Illustrator vector graphics editor, Acrobat Reader, the Portable Document Format (PDF), and Adobe Creative Suite, as well as its successor Adobe Creative Cloud.Adobe was founded in December 1982 by John Warnock and Charles Geschke, who established the company after leaving Xerox PARC to develop and sell the PostScript page description language. In 1985, Apple Computer licensed PostScript for use in its LaserWriter printers, which helped spark the desktop publishing revolution.As of 2019, Adobe has more than 21,000 employees worldwide, about 40% of whom work in San Jose. Adobe also has major development operations in the United States in Newton, New York City, Minneapolis, Lehi, Seattle, and San Francisco. It also has major development operations in Noida and Bangalore in India."
ADC,
ADES,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation which designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network. It is the world's largest construction equipment manufacturer. In 2018, Caterpillar was ranked #65 on the Fortune 500 list and #238 on the Global Fortune 500 list. Caterpillar stock is a component of the Dow Jones Industrial Average.Caterpillar Inc. traces its origins to the 1925 merger of the Holt Manufacturing Company and the C. L. Best Tractor Company, creating a new entity, the California-based Caterpillar Tractor Company. In 1986, the company reorganized itself as a Delaware corporation under the current name, Caterpillar Inc. Caterpillar's headquarters are located in Deerfield, Illinois; it announced in January 2017 that over the course of that year it would relocate its headquarters from Peoria, Illinois, to Deerfield, Illinois, scrapping plans from 2015 of building an $800 million new headquarters complex in downtown Peoria.The company also licenses and markets a line of clothing and workwear boots under its Cat / Caterpillar name.  Caterpillar machinery is recognizable by its trademark ""Caterpillar Yellow"" livery and the ""CAT"" logo."
ADI,"Analog Devices, Inc. (ADI), also known simply as Analog, is an American multinational semiconductor company specializing in data conversion, signal processing and power management technology, headquartered in Norwood, Massachusetts. In 2012, Analog Devices led the worldwide data converter market with a 48.5% share, according to analyst firm Databeans.The company manufactures analog, mixed-signal and digital signal processing (DSP) integrated circuits (ICs) used in electronic equipment. These technologies are used to convert, condition and process real-world phenomena, such as light, sound, temperature, motion, and pressure into electrical signals.Analog Devices has approximately 100,000 customers in the following industries: communications, computer, instrumentation, military/aerospace, automotive, and consumer electronics applications."
ADM,"The Archer-Daniels-Midland Company, commonly known as ADM, is an American multinational food processing and commodities trading corporation founded in 1902 and headquartered in Chicago, Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide, where cereal grains and oilseeds are processed into products used in food, beverage, nutraceutical, industrial, and animal feed markets worldwide. ADM ranked No. 54 in the 2020 Fortune 500 list of the largest United States corporations.The company also provides agricultural storage and transportation services. The American River Transportation Company along with ADM Trucking, Inc., are subsidiaries of ADM."
ADMA,
ADMS,
ADNT,"Adient plc is an American Irish-domiciled company that manufactures automotive seating for customers worldwide and is based in Plymouth, Michigan, United States.  As of 2017, Adient was the world's largest auto seat manufacturer, accounting for one-third of the markets global revenue and providing components for 25 million vehicles.Adient was founded as a spin-off from Johnson Controls in 2016, establishing its legal domicile in Dublin, Ireland. Johnson Controls had entered the automotive seating business in 1985 by acquiring Hoover Universal. In September 2017, Adient acquired the Oak Park, Michigan-based automotive seat manufacturer Futuris from Clearlake Capital, which added 15 facilities in Asia and North America, including one facility based in Newark, California, and which was anticipated to increase the company's revenue by $0.5 billion annually.As of 2017, Adient employed 86,000 people across 250 manufacturing/assembly plants, in 34 countries. In 2016, Adient announced plans to move its global operating headquarters to the Marquette Building in Detroit, but canceled those plans as of June 2018.  In January 2018, a joint venture was formed by Adient (50.01%) and Boeing (49.99%) to develop and manufacture airliner seats for new installations or retrofit, a $4.5 billion market in 2017 which will grow to $6 billion by 2026, to be based in Kaiserslautern near Frankfurt and distributed by Boeing subsidiary Aviall, with its customer service center in Seattle.In February 2020 Adient announced it agreed to sell its 30% stake in Yanfeng Global Automotive Interior Systems to Yanfeng Automotive Trim Systems US$ 379 million.In March 2020, Adient entered into an agreement to sell its automotive fabrics manufacturing business to Sage Automotive Interiors for $175 million."
ADP,"Automatic Data Processing, Inc., commonly known as ADP, is an American provider of human resources management software and services. ADP pays more than 36 million workers worldwide and serves more than 860,000 businesses from small business to global enterprise in 140 countries."
ADPT,"Fujifilm Holdings Corporation (富士フイルム株式会社, Fujifuirumu Kabushiki-kaisha), trading as Fujifilm, or simply Fuji, is a Japanese multinational photography, imaging, printing, medical equipment, chemical, biotechnology company headquartered in Tokyo, Japan. Fujifilm's principal activities are the development, production, sale and servicing of business document solutions, medical imaging and diagnostics equipment, cosmetics, regenerative medicine, stem cells, biologics manufacturing, Optical films for flat panel displays, optical devices, photocopiers and printers, digital cameras, color film, color paper, photofinishing equipment, photofinishing chemicals, graphic arts equipment and materials."
ADRO,
ADS,"Alliance Data Systems Corporation is a publicly traded provider of loyalty and marketing services, such as private label credit cards, coalition loyalty programs, and direct marketing, derived from the capture and analysis of transaction-rich data."
ADSK,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California, and features a gallery of its customers' work in its San Francisco building. The company has offices worldwide. Its U.S. locations are  California, Oregon, Colorado, Texas, Michigan,  New Hampshire and Massachusetts. Its Canada offices are located in Ontario, Quebec, and Alberta. The company was founded in 1982 by John Walker, who was a coauthor of the first versions of AutoCAD. AutoCAD, which is the company's flagship computer-aided design (CAD) software and Revit software are primarily used by architects, engineers, and structural designers to design, draft, and model buildings and other structures. Autodesk software has been used in many fields, and on projects from the One World Trade Center to Tesla electric cars.Autodesk became best known for AutoCAD, but now develops a broad range of software for design, engineering, and entertainment—and a line of software for consumers, including Sketchbook. The manufacturing industry uses Autodesk's digital prototyping software—including Autodesk Inventor, Fusion 360, and the Autodesk Product Design Suite—to visualize, simulate, and analyze real-world performance using a digital model in the design process. The company's Revit line of software for building information modeling is designed to let users explore the planning, construction, and management of a building virtually before it is built.Autodesk's Media and Entertainment division creates software for visual effects, color grading, and editing as well as animation, game development, and design visualization. 3ds Max and Maya are both 3D animation software used in film visual effects and game development."
ADSW,"Bomb disposal is an explosives engineering profession using the process by which hazardous explosive devices are rendered safe. Bomb disposal is an all-encompassing term to describe the separate, but interrelated functions in the military fields of explosive ordnance disposal (EOD) and improvised explosive device disposal (IEDD), and the public safety roles of public safety bomb disposal (PSBD) and the bomb squad."
ADT,"ADT Inc., formerly The ADT Corporation, is an American company that provides residential, small and large business electronic security, fire protection, and other related alarm monitoring services throughout the United States. The corporate head office is located in Boca Raton, Florida. In February 2016, the company was acquired by Apollo Global Management for $6.9 billion in a leveraged buyout."
ADTN,"ADTRAN, Inc. is a provider of telecommunications networking equipment and internetworking products. Its headquarters are in Huntsville, Alabama.The company is ISO 9001 and TL9000 certified. ADTRAN was a NASDAQ-100 Index stock from 1996 to 1998. It was #85 on BusinessWeek's 100 ""Hot Growth Companies"" list in 2006."
ADUS,
ADVM,"Adverum Biotechnologies, publicly traded (NASDAQ:ADVM) is a clinical stage gene therapy company located in Redwood City, California. The company is targeting unmet medical needs for serious ocular and rare diseases. Adverum is evaluating its novel gene therapy candidate, ADVM-022, designed as a one-time, intravitreal injection for the treatment of its lead indication, wet age-related macular degeneration."
AEE,"Ameren Corporation is an American power company created December 31, 1997, by the merger of St. Louis, Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP) of Springfield, Illinois. It is now a holding company for several power companies and energy companies. The company is based in St. Louis, serving 2.4 million electric, and 900,000 natural gas customers across 64,000 square miles in central and eastern Missouri and the southern four-fifths of Illinois.Ameren is the holding company for the following: Ameren Missouri Ameren Illinois Ameren Transmission Company Ameren ServicesThe Ameren Missouri subsidiary owns Bagnell Dam on the Osage River, which forms the Lake of the Ozarks. Ameren Missouri is responsible for managing water levels on the lake according to federal regulations."
AEGN,"Aegion Corporation is an American multinational company involved in the construction, maintenance, protection, rehabilitation, engineering and design of infrastructure projects for a wide range of industries, including oil and gas upstream/midstream/downstream facilities, power plants, food manufacturing, water, mining, and wastewater. Aegion's products and services protect against the corrosion of industrial pipelines and rehabilitate and strengthen water, wastewater, energy, and mining piping systems as well as buildings, bridges, tunnels and waterfront structures. The company engages in the provision of engineering, procurement, construction, maintenance, and turnaround services for various energy-related industries. Aegion's products and services are used in over 100 countries spanning six continents."
AEIS,"Advanced Energy Industries, Inc. is an American company that develops power and control technologies for the manufacture of semiconductors, flat panel displays, data storage products, industrial coatings, medical devices, solar cells and architectural glass."
AEL,"Silver Lake is an American private equity firm focused on worldwide large scale investments in technology, technology-enabled and related industries. Founded in 1999, the firm is one of the largest technology investors in the world. Its investment holdings have included Airbnb, Alibaba Group, Ancestry, Broadcom, Credit Karma, City Football Group, Dell Technologies, Endeavor, Expedia Group, Fanatics, First Advantage, Global Blue, GoDaddy, Jio, Lightbox, Motorola Solutions, NortonLifeLock, Red Ventures, Sabre Corporation, Skype, SoFi, GLG, Seagate Technology, SolarWinds, TEG, Twitter, Unity, Waymo, Weld North Education, WP Engine, Vacasa and ZPG. Silver Lake is headquartered in Silicon Valley, and has offices in New York, London, and Hong Kong."
AEO,"American Eagle Outfitters, Inc., known as American Eagle, is an American lifestyle, clothing, and accessories retailer headquartered at SouthSide Works in Pittsburgh, Pennsylvania. It was founded in 1977 by brothers Jerry and Mark Silverman as a subsidiary of Retail Ventures, Inc., a company that also owned and operated Silverman's Menswear. The Silvermans sold their ownership interests in 1991 to Jacob Price of Knoxville, Tennessee. American Eagle Outfitters is also the parent company of Aerie.The brand targets male and female university and high school students, although older adults also wear the brand. There are currently 933 American Eagle Outfitters stores: 109 Aerie stand-alone stores and 4 Tailgate stand-alone stores. In 1977, the first American Eagle Outfitters store opened in Twelve Oaks Mall in Novi, Michigan.Some of the brand's popular products are jeans, polo shirts, graphic T-shirts, boxers, outerwear, and swimwear."
AEP,"American Electric Power (AEP), (railcar reporting mark: AEPX) is a major investor-owned electric utility in the United States of America, delivering electricity to more than five million customers in 11 states.AEP ranks among the nation's largest generators of electricity, owning nearly 38,000 megawatts of generating capacity in the U.S. AEP also owns the nation's largest electricity transmission system, a nearly 39,000-mile (63,000 km) network that includes 765 kilovolt ultra-high voltage transmission lines, more than all other U.S. transmission systems combined. AEP's transmission system directly or indirectly serves about 10 percent of the electricity demand in the Eastern Interconnection, the interconnected transmission system that covers 38 eastern and central U.S. states and eastern Canada, and approximately 11 percent of the electricity demand in the Electric Reliability Council of Texas, the transmission system that covers much of Texas. AEP's utility units operate as AEP Ohio, AEP Texas, Appalachian Power (in Virginia, West Virginia, and Tennessee), Indiana Michigan Power, Kentucky Power, Public Service Company of Oklahoma, and Southwestern Electric Power Company (in Arkansas, Louisiana and east Texas). AEP's headquarters are in Columbus, Ohio. American Electric Power was the first utility to utilize 345 kV transmission lines which took place in 1953. The company ranked 185th on the 2018 Fortune 500 of the largest United States corporations by revenue."
AERI,"Aerie Pharmaceuticals Inc. (NASDAQ: AERI) is a publicly traded, clinical-stage pharmaceutical company focused on the discovery, development and commercialization of first-in-class therapies for the treatment of patients with glaucoma and other diseases of the eye. Aerie's two lead product candidates are once-daily IOP-lowering therapies with novel mechanisms of action to treat patients with glaucoma or ocular hypertension."
AES,"The AES Corporation is a Fortune 500 company that generates and distributes electrical power.  AES is headquartered in Arlington, Virginia, and is one of the world's leading power companies, generating and distributing electric power in 15 countries and employing 10,500 people worldwide."
AFG,"American Financial Group, Inc. is an American financial services holding company based in Cincinnati, Ohio.  Its primary businesses are insurance and investments."
