Ticker,Description,Sector,Industry
AAXN,"Axon Enterprise, Inc. develops, manufactures, and sells conducted energy weapons (CEWs) worldwide. The company operates through two segments, TASER and Software and Sensors. It offers TASER X26P, TASER X2, TASER 7, and TASER Pulse and Bolt CEWs; and related cartridges. The company also provides on-officer body cameras and Axon Fleet in-car video systems; and Axon Evidence connected software network; Axon Records cloud-based records management system; Axon Signal enabled devices; and computer-aided dispatch software, as well as Axon docks, cartridges, and batteries. In addition, it offers Evidence.com, a cloud-based digital evidence management system; and provides hardware and cloud-based software solutions that enable law enforcement to capture, securely store, manage, share, and analyze video and other digital evidence. Axon Enterprise, Inc. sells its products through its direct sales force, distribution partners, online store, and third-party resellers. The company was formerly known as TASER International, Inc. and changed its name to Axon Enterprise, Inc. in April 2017. Axon Enterprise, Inc. was founded in 1993 and is headquartered in Scottsdale, Arizona.",Industrials,Aerospace & Defense
ABBV,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the United States, Japan, Germany, Canada, France, Spain, Italy, the Netherlands, the United Kingdom, Brazil, and internationally. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; VIEKIRA PAK, an interferon-free therapy to treat adults with genotype 1 chronic hepatitis C virus (HCV); TECHNIVIE to treat adults with genotype 4 HCV infection; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides SYNAGIS that protects at-risk infants from severe respiratory disease; KALETRA, a prescription anti-HIV-1 medicine; CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; and Lupron, a product for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; and Sevoflurane, an anesthesia product. It has collaborations with Calico Life Sciences LLC; Alector, Inc.; Janssen Biotech, Inc.; Jacobio Pharmaceuticals; I-Mab; and Genmab A/S. The company was incorporated in 2012 and is based in North Chicago, Illinois.",Healthcare,Drug Manufacturers—General
ABC,"AmerisourceBergen Corporation sources and distributes pharmaceutical products in the United States and internationally. Its Pharmaceutical Distribution segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, outsourced compounded sterile preparations, and related services to various healthcare providers, including acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and other alternate site pharmacies, and other customers. It also provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; and packaging solutions to various institutional and retail healthcare providers. In addition, this segment distributes plasma and other blood products, injectable pharmaceuticals, vaccines, and other specialty products; provides other services primarily to physicians who specialize in various disease states, primarily oncology, as well as to other healthcare providers, including hospitals and dialysis clinics; and offers data analytics, outcomes research, and additional services for biotechnology and pharmaceutical manufacturers. The company's Other segment provides integrated manufacturer services, such as clinical trial support, product post-approval, and commercialization support; offers specialty transportation and logistics services for the biopharmaceutical industry; and sells pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and various other products to customers in both the companion animal and production animal markets, as well as provides demand-creating sales force services to manufacturers. AmerisourceBergen Corporation was founded in 1985 and is headquartered in Chesterbrook, Pennsylvania.",Healthcare,Medical Distribution
ABCB,"Ameris Bancorp operates as the bank holding company for Ameris Bank that provides banking services to retail and commercial customers primarily in Georgia, Alabama, Florida, and South Carolina. The company operates through five segments: Banking Division, Retail Mortgage Division, Warehouse Lending Division, SBA Division, and Premium Finance Division. It offers commercial and retail checking, regular interest-bearing savings, money market, individual retirement, and certificates of deposit accounts. The company also provides commercial real estate, residential real estate mortgage, agricultural, and commercial and industrial loans; consumer loans, including motor vehicle, home improvement, and home equity loans, as well as loans secured by savings accounts and small unsecured personal credit lines; and municipal and commercial insurance premium finance loans. It operates 170 domestic banking offices and 31 mortgage and loan production offices. Ameris Bancorp was founded in 1971 and is headquartered in Atlanta, Georgia.",Financial Services,Banks—Regional
ABEO,"Abeona Therapeutics Inc., a clinical-stage biopharmaceutical company, develops gene and cell therapies for life-threatening rare genetic diseases. Its lead programs include EB-101, an autologous, gene-corrected cell therapy for recessive dystrophic epidermolysis bullosa; ABO-102, an adeno-associated virus-based gene therapy for Sanfilippo syndrome type A; and ABO-101, an AAV-based gene therapy for Sanfilippo syndrome type B. The company also develops ABO-202 and ABO-201, which are AAV-based gene therapies for the CLN1 and CLN3 forms of Batten disease; ABO-401 for the treatment of cystic fibrosis; and ABO-5OX for the treatment of genetic eye disorders. In addition, it is developing AAV-based gene therapy through its AIM vector platform programs. Abeona Therapeutics Inc. has a license agreement with REGENXBIO Inc. for the development and commercialization of gene therapies for the treatment of MPS IIIA, MPS IIIB, CLN1 disease, and CLN3 disease. The company was formerly known as PlasmaTech Biopharmaceuticals, Inc. and changed its name to Abeona Therapeutics Inc. in June 2015. Abeona Therapeutics Inc. was incorporated in 1974 and is headquartered in New York, New York.",Healthcare,Biotechnology
ABG,"Asbury Automotive Group, Inc., together with its subsidiaries, operates as an automotive retailer in the United States. It offers a range of automotive products and services, including new and used vehicles; and vehicle repair and maintenance services, replacement parts, and collision repair services. The company also provides finance and insurance products, including arranging vehicle financing through third parties; and aftermarket products, such as extended service contracts, guaranteed asset protection debt cancellation, prepaid maintenance, and credit life and disability insurance. As of December 31, 2019, the company owned and operated 107 new vehicle franchises representing 31 brands of automobiles at 88 dealership locations; and 25 collision centers in the United States. Asbury Automotive Group, Inc. was founded in 1996 and is headquartered in Duluth, Georgia.",Consumer Cyclical,Auto & Truck Dealerships
ABM,"ABM Industries Incorporated provides integrated facility solutions in the United States and internationally. The company operates through Business & Industry, Aviation, Technology & Manufacturing, Education, and Technical Solutions segments. It provides janitorial, facilities engineering, parking, custodial, landscaping and ground, and mechanical and electrical services; and vehicle maintenance and other services to rental car providers. The company was founded in 1909 and is headquartered in New York, New York.",Industrials,Specialty Business Services
ABMD,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5 catheter, a percutaneous micro heart pump with integrated motor and sensors for use in interventional cardiology; and Impella CP, a device used by interventional cardiologists to support patients in the cath lab and cardiac surgeons in the heart surgery suite. It also provides Impella 5.0 and Impella LD, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; and Impella Connect, a cloud-based technology that enables secure, cloud-based, and remote viewing of the Automated Impella Controller for physicians and hospital staffs. In addition, the company engages in the development of Impella XR Sheath, a sheath designed to expand and recoil to all for ease of use upon insertion of an Impella heart pump and minimize the size of the arteriotomy; Impella BTR, a percutaneous micro heart pumps with integrated motors and sensors; and Impella ECP pump that is designed for blood flow of greater than three liters per minute. It sells its products through direct sales and clinical support personnel in the United States, Canada, Europe, and Asia. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Healthcare,Medical Devices
ABT,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. Its Established Pharmaceutical Products segment offers generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency; irritable bowel syndrome or biliary spasm; intrahepatic cholestasis or depressive symptom; gynecological disorder; hormone replacement therapy; dyslipidemia; hypertension; hypothyroidism; MÃ©niÃ¨re's disease and vestibular vertigo; pain, fever, and inflammation; migraine; and anti-infective clarithromycin, as well as provides influenza vaccines and products that regulate physiological rhythm of the colon. The company's Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automates the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detects and measures infectious agents; cartridges for blood analysis; rapid diagnostics systems; molecular point-of-care testing for HIV, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test systems, as well as remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. Its Nutritional Products segment provides pediatric and adult nutritional products. The company's Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases, as well as neuromodulation devices for the management of chronic pain and movement disorders. This segment also provides glucose and blood glucose monitoring systems. Abbott Laboratories has an agreement with Tandem Diabetes Care to develop and commercialize integrated diabetes solutions. The company was founded in 1888 and is headquartered in North Chicago, Illinois.",Healthcare,Medical Devices
ABTX,"Allegiance Bancshares, Inc. operates as the bank holding company for Allegiance Bank that provides a range of commercial banking services primarily to small and medium-sized businesses, professionals, and individual customers. It accepts deposit products, including checking accounts, commercial accounts, and savings accounts, as well as other time deposits comprising money market accounts and certificates of deposit. The company also grants various loan products, which include commercial and industrial loans; mortgage warehouse loans; commercial real estate loans, including multi-family residential loans; commercial real estate construction and land development loans; residential real estate loans, such as 1-4 family residential mortgage loans; residential construction loans; and consumer and other loans. In addition, it offers automated teller machines, drive-through services, and depository facilities; mobile banking services; and telephone, mail, and Internet banking services. Further, the company provides safe deposit boxes, debit cards, cash management and wire transfer services, night depository services, direct deposits, cashier's checks, and letters of credit. As of December 31, 2018, it operated 27 bank offices and 1 loan production office in the Houston metropolitan area, as well as 1 bank office location in Beaumont. The company was founded in 2007 and is headquartered in Houston, Texas.",Financial Services,Banks—Regional
AC,"Associated Capital Group, Inc. provides investment advisory services in the United States. The company offers alternative investment management and underwriting services, as well as asset management services. It also offers institutional research services to hedge funds and asset managers, as well as affiliated mutual funds and managed accounts. The company was founded in 1976 and is headquartered in Greenwich, Connecticut.",Financial Services,Capital Markets
ACA,"Arcosa, Inc., together with its subsidiaries, provides infrastructure-related products and solutions for the construction, energy, and transportation markets in North America. It operates through three segments: Construction Products Group, Energy Equipment Group, and Transportation Products Group. The Construction Products Group segment offers natural and lightweight aggregates, trench shields, shoring products, and specialty milled or processed materials that are used in construction landscape, including commercial, industrial, road and bridge, and underground construction. It serves equipment rental dealers, as well as commercial, residential, and industrial contractors. The Energy Equipment Group segment provides structural wind towers for wind turbine producers; steel utility structures for electricity transmission and distribution; pressurized and non-pressurized tanks that store and transport various products, including propane, anhydrous ammonia, and natural gas liquids; and fertilizer storage containers for agricultural markets. The Transportation Products Group segment offers hopper barges, tank barges, fiberglass covers, hatches, castings, and winches for commercial marine transportation companies and industrial shippers; axles, circular forgings, and coupling devices for freight, tank, locomotive, and passenger rail transportation equipment, as well as for other industrial uses; and cast components for use in the industrial and mining sectors. The company was incorporated in 2018 and is headquartered in Dallas, Texas.",Industrials,Infrastructure Operations
ACAD,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization of small molecule drugs that address unmet medical needs in central nervous system disorders. The company offers NUPLAZID (pimavanserin) for the treatment of hallucinations and delusions associated with Parkinson's disease psychosis. It is also developing pimavanserin as a treatment for dementia-related psychosis and as an adjunctive treatment for schizophrenia that are in Phase III clinical trials; and pimavanserin as an adjunctive treatment for major depressive disorder. ACADIA Pharmaceuticals Inc. was founded in 1993 and is headquartered in San Diego, California.",Healthcare,Biotechnology
ACBI,"Atlantic Capital Bancshares, Inc. operates as the bank holding company for Atlantic Capital Bank, N.A. that provides banking products and services. The company offers non-interest and interest bearing demand, savings and money market, time, and brokered deposits. It also provides working capital and equipment loans, loans supported by owner-occupied real estate, revolving lines of credit, term loans, and letters of credit; secured installment and term loans, and home equity lines of credit; and commercial real estate loans, including secured construction loans, secured mini-permanent loans, and secured or unsecured lines of credit, as well as small business administration and franchise finance loans. In addition, the company offers cash and treasury management, capital market, payment processing, commercial and not-for-profit banking, payroll, electronic payment, and online and mobile banking services. It serves small and medium sized businesses and commercial enterprises, franchisees, not for profit enterprises, commercial real estate developers and individual clients, public real estate investment trusts and other commercial real estate clients, and professional services businesses. The company primarily operates a loan production office in Cobb County, Georgia; and 5 additional locations located in Cobb County, Fulton County, and Athens-Clarke County, Georgia; and Hamilton County, Tennessee. The company was founded in 2006 and is headquartered in Atlanta, Georgia.",Financial Services,Banks—Regional
ACC,"American Campus Communities, Inc. is the largest owner, manager and developer of high-quality student housing communities in the United States. The company is a fully integrated, self-managed and self-administered equity real estate investment trust (REIT) with expertise in the design, finance, development, construction management and operational management of student housing properties. As of June 30, 2020, American Campus Communities owned 166 student housing properties containing approximately 111,900 beds. Including its owned and third-party managed properties, ACC's total managed portfolio consisted of 201 properties with approximately 138,000 beds.",Real Estate,REIT—Residential
ACCO,"ACCO Brands Corporation designs, manufactures, and markets consumer and business products. It operates through three segments: ACCO Brands North America, ACCO Brands EMEA, and ACCO Brands International. The company offers school notebooks, calendars, planners, dry erase boards, and janitorial supplies; storage and organization products, such as three-ring and lever-arch binders, sheet protectors, and indexes; laminating, binding, and shredding machines; writing instruments; stapling and punching products; do-it-yourself tools; and computer accessories and others used in schools, homes, and businesses. It offers its products primarily under the AT-A-GLANCE, Barrilito, Derwent, Esselte, Five Star, Foroni, GBC, Hilroy, Kensington, Leitz, Marbig, Mead, NOBO, Quartet, Rapid, Rexel, Swingline, Tilibra, Spirax, and Wilson Jones brand names. The company markets and sells its products through various channels, including mass retailers; e-tailers; discount, drug/grocery, and variety chains; warehouse clubs; hardware and specialty stores; independent office product dealers; office superstores; wholesalers; and contract stationers, as well as sells products directly to commercial and consumer end-users through its e-commerce platform and direct sales organization. ACCO Brands Corporation was founded in 1893 and is headquartered in Lake Zurich, Illinois.",Industrials,Business Equipment & Supplies
ACER,"Acer Therapeutics Inc., a pharmaceutical company, focuses on the acquisition, development, and commercialization of therapies for serious rare and life-threatening diseases. Its pipeline includes three clinical-stage candidates: EDSIVO for the treatment of vascular Ehlers-Danlos Syndrome in patients with a confirmed type III collagen mutation; and ACER-001, a formulation of sodium phenylbutyrate for the treatment of various inborn errors of metabolism, including urea cycle disorders, maple syrup urine disease, and osanetant for the treatment of induced Vasomotor Symptoms. The company has a research collaboration agreement with the National Center for Advancing Translational Sciences (NCATS) to develop emetine hydrochloride as a potential treatment for patients with COVID-19; and a license agreement with Sanofi to acquire worldwide rights to osanetant, a clinical-stage, selective, and non-peptide tachykinin NK3 receptor antagonist. Acer Therapeutics Inc. was founded in 2013 and is headquartered in Newton, Massachusetts.",Healthcare,Biotechnology
ACGL,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide. The company's Insurance segment offers primary and excess casualty coverages; loss sensitive primary casualty insurance programs; collateral protection, debt cancellation, and service contract reimbursement products; directors' and officers' liability, errors and omissions liability, employment practices and fiduciary liability, crime, professional indemnity, and other financial related coverages; medical professional and general liability insurance coverages; and workers' compensation and umbrella liability, as well as commercial automobile and inland marine products. It also provides property, energy, marine, and aviation insurance; travel insurance; accident, disability, and medical plan insurance coverages; captive insurance programs; and contract and commercial surety coverages. This segment markets its products through a group of licensed independent retail and wholesale brokers. Its Reinsurance segment provides reinsurance for third party liability and workers' compensation exposures; marine and aviation reinsurance; surety, accident and health, workers' compensation catastrophe, agriculture, trade credit, and political risk products; reinsurance protection for catastrophic losses, and personal lines and commercial property exposures; life reinsurance; casualty clash; and risk management solutions. This segment markets its reinsurance products through brokers. The company's Mortgage segment offers private mortgage insurance covering one-to-four family residential mortgages; mortgage insurance to cover previously originated residential loans; quota share reinsurance; and credit risk-sharing products. This segment sells its products through direct basis and through brokers to mortgage originators. The company was founded in 1995 and is based in Pembroke, Bermuda.",Financial Services,Insurance—Diversified
ACHC,"Acadia Healthcare Company, Inc. develops and operates inpatient psychiatric facilities, residential treatment centers, group homes, substance abuse facilities, and outpatient behavioral healthcare facilities to serve the behavioral health and recovery needs of communities in the United States, the United Kingdom, and Puerto Rico. The company operates acute inpatient psychiatric facilities, which cares to stabilize patients that are either threat to themselves or others by hourly observation, daily intervention, and monitoring by psychiatrists; and specialty treatment facilities, including residential recovery and eating disorder facilities, and comprehensive treatment centers that provide continuum care for adults with addictive disorders and co-occurring mental disorders. It also provides residential treatment centers, which treat patients with behavioral disorders in a non-hospital setting, including outdoor programs; and outpatient community-based services, such as community-based programs that are designed to offer therapeutic treatment to children and adolescents who have a clinically-defined emotional, psychiatric, or chemical dependency disorders. In addition, the company provides mental health rehabilitation services comprising relapse prevention and social integration services, as well as vocational opportunities; acute services for patients at risk to themselves or others, as well as crisis intervention and treatment of behavioral emergencies; and long-term and non-acute care services for adults suffering from mental illness, addiction, learning disability, or brain injury. Further, it provides education and children's services for children and young people with special educational needs; adult care services; and care first services for employees. As of December 31, 2019, the company operated a network of 585 behavioral healthcare facilities with 18,200 beds. The company was founded in 2005 and is headquartered in Franklin, Tennessee.",Healthcare,Medical Care Facilities
ACIA,"Acacia Communications, Inc. develops, manufactures, and sells high-speed coherent optical interconnect products in the United States, China, Germany, Thailand, and internationally. The company offers embedded and pluggable module products consisting of optical interconnect modules with transmission speeds ranging from 100 to 1,200 gigabits per second for use in long-haul, metro, and inter-data center markets. It also provides semiconductor products, such as low-power coherent digital signal processor application-specific integrated circuits and silicon photonic integrated circuits that are integrated into embedded and pluggable modules. The company sells its products through a direct sales force to network equipment manufacturers, network operators, and cloud service providers. Acacia Communications, Inc. was founded in 2009 and is headquartered in Maynard, Massachusetts.",Technology,Communication Equipment
ACIW,"ACI Worldwide, Inc. develops, markets, installs, and supports a range of software products and solutions for facilitating electronic payments to banks, financial intermediaries, merchants, and billers worldwide. The company offers UP Retail Payments solution that enables banks and financial intermediaries to accept, authorize, route, and secure payment transactions; and ACI Card and Merchant Management solutions, such as credit, debit, smart card, and prepaid card issuance and management, as well as merchant account management and settlement. It also provides UP Immediate Payments solution that enables banks and payment service providers to meet real-time payment schemes and create various products; and UP Real-Time Payments solution that allows banks to address real-time gross settlement, SWIFT messaging, automated clearing house, and real-time payments. The company offers ACI ReD Shield, a real-time fraud prevention solution; Postilion; ACI PAY.ON Payments Gateway; UP eCommerce Payments solution; UP Payments Risk Management solution; and ACI Universal Online Banker platform. It also provides ACI Speedpay solutions that enable customers to electronically present bills and collect payments from consumers through a single and integrated platform that controls bill payments operation. The company offers electronic bill presentment and payment services to consumer finance, insurance, healthcare, higher education, utility, government, and mortgage sectors; implementation services, including product installations and configurations, and custom software modifications; and business and technical consultancy, and on-site support services, as well as distributes or acts as a sales agent for software developed by third parties. It markets its products under the ACI brand. The company was formerly known as Transaction Systems Architects, Inc. and changed its name to ACI Worldwide, Inc. in July 2007. The company was founded in 1975 and is headquartered in Naples, Florida.",Technology,Software—Infrastructure
ACLS,"Axcelis Technologies, Inc. designs, manufactures, and services ion implantation and other processing equipment used in the fabrication of semiconductor chips in North America, the Asia Pacific, and Europe. The company offers a line of high energy, high current, and medium current implanters for various application requirements. It also provides curing and thermal processing systems. In addition, the company offers aftermarket lifecycle products and services, including used tools, spare parts, equipment upgrades, maintenance services, and customer training. It sells its equipment and services to semiconductor chip manufacturers through its direct sales force. The company was founded in 1978 and is headquartered in Beverly, Massachusetts.",Technology,Semiconductor Equipment & Materials
