Symbol,Description,Industry,Sector
ANIP,"ANI PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
ANSS,"ANSYS, INC.",Computer Software: Prepackaged Software,Technology
ANTM,"ANTHEM, INC.",Medical Specialities,Health Care
AON,AON PLC,Specialty Insurers,Finance
AOS,A.O SMITH CORPORATION,Consumer Electronics/Appliances,Consumer Durables
AOSL,ALPHA AND OMEGA SEMICONDUCTOR LIMITED,Semiconductors,Technology
AP,AMPCO-PITTSBURGH CORPORATION,Fluid Controls,Capital Goods
APA,APACHE CORPORATION,Oil & Gas Production,Energy
APAM,ARTISAN PARTNERS ASSET MANAGEMENT INC.,Investment Managers,Finance
APD,"AIR PRODUCTS AND CHEMICALS, INC.",Major Chemicals,Basic Industries
APEI,"AMERICAN PUBLIC EDUCATION, INC.",Other Consumer Services,Consumer Services
APH,AMPHENOL CORPORATION,Electrical Products,Capital Goods
APLE,"APPLE HOSPITALITY REIT, INC.",Real Estate Investment Trusts,Consumer Services
APOG,"APOGEE ENTERPRISES, INC.",Auto Parts:O.E.M.,Capital Goods
APPF,"APPFOLIO, INC.",Computer Software: Prepackaged Software,Technology
APTS,"PREFERRED APARTMENT COMMUNITIES, INC.",Real Estate Investment Trusts,Consumer Services
AQMS,"AQUA METALS, INC.",Metal Fabrications,Basic Industries
AR,ANTERO RESOURCES CORPORATION,Oil & Gas Production,Energy
ARA,"AMERICAN RENAL ASSOCIATES HOLDINGS, INC",Misc Health and Biotechnology Services,Health Care
ARAY,ACCURAY INCORPORATED,Medical/Dental Instruments,Health Care
ARB,,,
ARC,"ARC DOCUMENT SOLUTIONS, INC.",Professional Services,Consumer Services
ARCB,ARCBEST CORPORATION,Trucking Freight/Courier Services,Transportation
ARCC,ARES CAPITAL CORPORATION,,
ARCH,"ARCH RESOURCES, INC.",Coal Mining,Energy
ARD,ARDAGH GROUP S.A.,Containers/Packaging,Consumer Durables
ARDX,"ARDELYX, INC.",Major Pharmaceuticals,Health Care
ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate Investment Trusts,Consumer Services
ARI,APOLLO COMMERCIAL REAL ESTATE FINANCE,Real Estate Investment Trusts,Consumer Services
ARL,"AMERICAN REALTY INVESTORS, INC.",Real Estate,Finance
ARMK,ARAMARK,Restaurants,Consumer Services
ARNA,"ARENA PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
ARNC,ARCONIC CORPORATION,,
AROC,"ARCHROCK, INC.",Natural Gas Distribution,Public Utilities
AROW,ARROW FINANCIAL CORPORATION,Major Banks,Finance
ARR,"ARMOUR RESIDENTIAL REIT, INC.",Real Estate Investment Trusts,Consumer Services
ARTL,"ARTELO BIOSCIENCES, INC.",Business Services,Miscellaneous
ARTNA,ARTESIAN RESOURCES CORPORATION,Water Supply,Public Utilities
ARW,"ARROW ELECTRONICS, INC.",Electronic Components,Technology
ASB,ASSOCIATED BANC-CORP,Major Banks,Finance
ASC,ARDMORE SHIPPING CORPORATION,Marine Transportation,Transportation
ASGN,ASGN INCORPORATED,Professional Services,Technology
ASH,ASHLAND GLOBAL HOLDINGS INC.,Specialty Chemicals,Consumer Durables
ASIX,ADVANSIX INC.,Major Chemicals,Basic Industries
ASMB,"ASSEMBLY BIOSCIENCES, INC.",Major Pharmaceuticals,Health Care
ASPS,ALTISOURCE PORTFOLIO SOLUTIONS S.A.,Other Consumer Services,Consumer Services
ASTE,"ASTEC INDUSTRIES, INC.",Construction/Ag Equipment/Trucks,Capital Goods
ASYS,"AMTECH SYSTEMS, INC.",Industrial Machinery/Components,Technology
AT,ATLANTIC POWER CORPORATION,Electric Utilities: Central,Energy
ATEC,"ALPHATEC HOLDINGS, INC.",Medical/Dental Instruments,Health Care
ATEN,"A10 NETWORKS, INC.",Computer Communications Equipment,Technology
ATGE,ADTALEM GLOBAL EDUCATION INC.,Other Consumer Services,Consumer Services
ATH,ATHENE HOLDING LTD.,Life Insurance,Finance
ATHX,"ATHERSYS, INC.",Major Pharmaceuticals,Health Care
ATI,ALLEGHENY TECHNOLOGIES INCORPORATED,Steel/Iron Ore,Basic Industries
ATKR,ATKORE INTERNATIONAL GROUP INC.,Industrial Machinery/Components,Miscellaneous
ATLO,AMES NATIONAL CORPORATION,Major Banks,Finance
ATNI,"ATN INTERNATIONAL, INC.",Telecommunications Equipment,Public Utilities
ATO,ATMOS ENERGY CORPORATION,Oil/Gas Transmission,Public Utilities
ATR,"APTARGROUP, INC.",Plastic Products,Consumer Non-Durables
ATRA,"ATARA BIOTHERAPEUTICS, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
ATRC,"ATRICURE, INC.",Medical/Dental Instruments,Health Care
ATRI,ATRION CORPORATION,Medical/Dental Instruments,Health Care
ATRO,ASTRONICS CORPORATION,Military/Government/Technical,Capital Goods
ATRS,"ANTARES PHARMA, INC.",Medical/Dental Instruments,Health Care
ATSG,"AIR TRANSPORT SERVICES GROUP, INC",Air Freight/Delivery Services,Transportation
ATVI,"ACTIVISION BLIZZARD, INC",Computer Software: Prepackaged Software,Technology
AUBN,"AUBURN NATIONAL BANCORPORATION, INC.",Major Banks,Finance
AUMN,GOLDEN MINERALS COMPANY,Precious Metals,Basic Industries
AVA,AVISTA CORPORATION,Power Generation,Public Utilities
AVAV,"AEROVIRONMENT, INC.",Aerospace,Capital Goods
AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate Investment Trusts,Consumer Services
AVCT,"AMERICAN VIRTUAL CLOUD TECHNOLOGIES, INC.",EDP Services,Technology
AVD,AMERICAN VANGUARD CORPORATION,Agricultural Chemicals,Basic Industries
AVEO,"AVEO PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
AVGO,BROADCOM INC.,Semiconductors,Technology
AVID,"AVID TECHNOLOGY, INC.",Computer Software: Prepackaged Software,Technology
AVNW,"AVIAT NETWORKS, INC.",Radio And Television Broadcasting And Communications Equipment,Technology
AVT,"AVNET, INC.",Electronic Components,Technology
AVTR,"AVANTOR, INC.",Biotechnology: Laboratory Analytical Instruments,Capital Goods
AVXL,ANAVEX LIFE SCIENCES CORP.,Biotechnology: Commercial Physical & Biological Resarch,Health Care
AVY,AVERY DENNISON CORPORATION,Containers/Packaging,Consumer Durables
AWAY,,,
AWH,ASPIRA WOMEN'S HEALTH INC.,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care
AWI,ARMSTRONG WORLD INDUSTRIES INC,Plastic Products,Consumer Non-Durables
AWK,AMERICAN WATER WORKS,Water Supply,Public Utilities
AWR,AMERICAN STATES WATER COMPANY,Water Supply,Public Utilities
AXAS,ABRAXAS PETROLEUM CORPORATION,Oil & Gas Production,Energy
AXDX,"ACCELERATE DIAGNOSTICS, INC.",Biotechnology: Laboratory Analytical Instruments,Capital Goods
AXGN,"AXOGEN, INC.",Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care
AXL,"AMERICAN AXLE & MANUFACTURING HOLDINGS, INC.",Auto Parts:O.E.M.,Capital Goods
AXP,AMERICAN EXPRESS COMPANY,Finance: Consumer Services,Finance
AXR,AMREP CORPORATION,Newspapers/Magazines,Consumer Services
AXS,AXIS CAPITAL HOLDINGS LIMITED,Property-Casualty Insurers,Finance
AXTA,AXALTA COATING SYSTEMS LTD.,Paints/Coatings,Basic Industries
AXTI,AXT INC,Semiconductors,Technology
AYI,"ACUITY BRANDS, INC.",Building Products,Consumer Durables
AYX,"ALTERYX, INC.",Computer Software: Prepackaged Software,Technology
AZO,"AUTOZONE, INC.",Other Specialty Stores,Consumer Services
AZPN,"ASPEN TECHNOLOGY, INC.",EDP Services,Technology
AZZ,AZZ INC.,Building Products,Consumer Durables
B,"BARNES GROUP, INC.",Metal Fabrications,Capital Goods
BA,BOEING COMPANY (THE),Aerospace,Capital Goods
BAC,BANK OF AMERICA CORPORATION,Major Banks,Finance
BAH,BOOZ ALLEN HAMILTON HOLDING CORPORATION,Professional Services,Consumer Services
BANC,"BANC OF CALIFORNIA, INC.",Major Banks,Finance
BANF,BANCFIRST CORPORATION,Major Banks,Finance
BANR,BANNER CORPORATION,Major Banks,Finance
BATRA,LIBERTY MEDIA CORPORATION,Broadcasting,Consumer Services
BATRK,LIBERTY MEDIA CORPORATION,Broadcasting,Consumer Services
BAX,BAXTER INTERNATIONAL INC.,Medical/Dental Instruments,Health Care
BBBY,BED BATH & BEYOND INC.,Home Furnishings,Consumer Services
BBGI,"BEASLEY BROADCAST GROUP, INC.",Broadcasting,Consumer Services
BBI,"BRICKELL BIOTECH, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
BBSI,"BARRETT BUSINESS SERVICES, INC.",Professional Services,Technology
BBW,"BUILD-A-BEAR WORKSHOP, INC.",Recreational Products/Toys,Consumer Services
BBX,BBX CAPITAL CORPORATION,Real Estate,Finance
BBY,"BEST BUY CO., INC.",Consumer Electronics/Video Chains,Consumer Services
BC,BRUNSWICK CORPORATION,Industrial Machinery/Components,Energy
BCBP,"BCB BANCORP, INC. (NJ)",Savings Institutions,Finance
BCC,"BOISE CASCADE, L.L.C.",RETAIL: Building Materials,Consumer Services
BCEI,"BONANZA CREEK ENERGY, INC.",Oil & Gas Production,Energy
BCO,BRINK'S COMPANY (THE),Oil Refining/Marketing,Transportation
BCOR,"BLUCORA, INC.",Finance: Consumer Services,Finance
BCOV,BRIGHTCOVE INC.,EDP Services,Technology
BCPC,BALCHEM CORPORATION,Major Chemicals,Basic Industries
BCRX,"BIOCRYST PHARMACEUTICALS, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
BDC,BELDEN INC,Telecommunications Equipment,Basic Industries
BDGE,"BRIDGE BANCORP, INC.",Major Banks,Finance
BDN,BRANDYWINE REALTY TRUST,Real Estate Investment Trusts,Consumer Services
BDSI,"BIODELIVERY SCIENCES INTERNATIONAL, INC.",Major Pharmaceuticals,Health Care
BDX,"BECTON, DICKINSON AND COMPANY",Medical/Dental Instruments,Health Care
BEAM,BEAM THERAPEUTICS INC.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
BEAT,"BIOTELEMETRY, INC.",Medical Specialities,Health Care
BECN,"BEACON ROOFING SUPPLY, INC.",RETAIL: Building Materials,Consumer Services
BELFB,BEL FUSE INC.,Electrical Products,Capital Goods
BEN,"FRANKLIN RESOURCES, INC.",Investment Managers,Finance
BERY,"BERRY GLOBAL GROUP, INC.",Plastic Products,Consumer Non-Durables
BF-A,BROWN FORMAN CORPORATION,,
BF-B,BROWN FORMAN CORPORATION,,
BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC.,Other Consumer Services,Miscellaneous
BFIN,BANKFINANCIAL CORPORATION,Savings Institutions,Finance
BFS,"SAUL CENTERS, INC.",Real Estate Investment Trusts,Consumer Services
BG,BUNGE LIMITED,Packaged Foods,Consumer Non-Durables
BGCP,"BGC PARTNERS, INC.",Investment Bankers/Brokers/Service,Finance
BGFV,BIG 5 SPORTING GOODS CORPORATION,Other Specialty Stores,Consumer Services
BGS,"B&G FOODS, INC.",Packaged Foods,Consumer Non-Durables
BGSF,BG STAFFING INC,Professional Services,Technology
BH,BIGLARI HOLDINGS INC.,Restaurants,Consumer Services
BHB,"BAR HARBOR BANKSHARES, INC.",Major Banks,Finance
BHE,"BENCHMARK ELECTRONICS, INC.",Electrical Products,Technology
BHLB,"BERKSHIRE HILLS BANCORP, INC.",Banks,Finance
BHVN,BIOHAVEN PHARMACEUTICAL HOLDING COMPANY LTD.,Major Pharmaceuticals,Health Care
BIDU,"BAIDU, INC.","Computer Software: Programming, Data Processing",Technology
BIG,"BIG LOTS, INC.",Department/Specialty Retail Stores,Consumer Services
BIIB,BIOGEN INC.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
BIO,"BIO-RAD LABORATORIES, INC.",Biotechnology: Laboratory Analytical Instruments,Capital Goods
BIOL,"BIOLASE, INC.",Medical/Dental Instruments,Health Care
BJ,"BJ'S WHOLESALE CLUB HOLDINGS, INC.",Department/Specialty Retail Stores,Consumer Services
BJRI,"BJ'S RESTAURANTS, INC.",Restaurants,Consumer Services
BK,THE BANK OF NEW YORK MELLON CORPORATION,Major Banks,Finance
BKH,BLACK HILLS CORPORATION,Electric Utilities: Central,Public Utilities
BKI,"BLACK KNIGHT, INC.",Computer Software: Prepackaged Software,Technology
BKR,BAKER HUGHES COMPANY,Metal Fabrications,Energy
BKU,"BANKUNITED, INC.",Savings Institutions,Finance
BL,"BLACKLINE, INC.",Computer Software: Prepackaged Software,Technology
BLBD,BLUE BIRD CORPORATION,Construction/Ag Equipment/Trucks,Capital Goods
BLCM,"BELLICUM PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
BLD,TOPBUILD CORP.,Engineering & Construction,Basic Industries
BLDR,"BUILDERS FIRSTSOURCE, INC.",RETAIL: Building Materials,Consumer Services
BLK,"BLACKROCK, INC.",Investment Bankers/Brokers/Service,Finance
BLKB,"BLACKBAUD, INC.",Computer Software: Prepackaged Software,Technology
BLL,BALL CORPORATION,Containers/Packaging,Consumer Durables
BLMN,"BLOOMIN' BRANDS, INC.",Restaurants,Consumer Services
BLUE,"BLUEBIRD BIO, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
BLX,"BANCO LATINOAMERICANO DE COMERCIO EXTERIOR, S.A.",Commercial Banks,Finance
BMCH,"BMC STOCK HOLDINGS, INC.",RETAIL: Building Materials,Consumer Services
BMI,"BADGER METER, INC.",Industrial Machinery/Components,Capital Goods
BMRC,BANK OF MARIN BANCORP,Major Banks,Finance
BMRN,BIOMARIN PHARMACEUTICAL INC.,Major Pharmaceuticals,Health Care
BMTC,BRYN MAWR BANK CORPORATION,Major Banks,Finance
BMY,BRISTOL-MYERS SQUIBB COMPANY,Major Pharmaceuticals,Health Care
BNED,"BARNES & NOBLE EDUCATION, INC",Other Specialty Stores,Consumer Services
BNFT,"BENEFITFOCUS, INC.",Computer Software: Prepackaged Software,Technology
BOCH,BANK OF COMMERCE HOLDINGS (CA),Major Banks,Finance
BOH,BANK OF HAWAII CORPORATION,Major Banks,Finance
BOKF,BOK FINANCIAL CORPORATION,Major Banks,Finance
BOOM,DMC GLOBAL INC.,Industrial Specialties,Capital Goods
BOOT,"BOOT BARN HOLDINGS, INC.",Clothing/Shoe/Accessory Stores,Consumer Services
BOX,"BOX, INC.",Computer Software: Prepackaged Software,Technology
BPFH,"BOSTON PRIVATE FINANCIAL HOLDINGS, INC.",Major Banks,Finance
BPMC,BLUEPRINT MEDICINES CORPORATION,Major Pharmaceuticals,Health Care
BPOP,"POPULAR, INC.",Major Banks,Finance
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Business Services,Miscellaneous
BRC,BRADY CORPORATION,Miscellaneous manufacturing industries,Consumer Durables
