company,mkt_cap,pb_ratio,beta,profit_m,roa,roe
BSX,45.66B,3.29,0.95,39.75%,3.74%,37.22%
BMY,126.12B,2.44,0.72,3.08%,5.82%,3.00%
AVGO,121.39B,4.87,0.94,11.64%,3.29%,11.07%
BR,10.86B,9.65,0.90,9.50%,8.32%,33.72%
CHRW,8.91B,5.33,0.54,3.21%,8.84%,30.45%
COG,6.85B,3.18,0.27,27.42%,8.53%,21.04%
CDNS,18.44B,8.77,1.08,41.74%,10.16%,56.33%
CPB,14.61B,11.79,0.41,17.95%,5.66%,24.25%
COF,22.96B,0.40,1.74,14.87%,0.72%,5.05%
CPRI,5.68B,2.36,1.90,6.09%,6.27%,14.19%
CAH,14.00B,14.01,0.98,-2.71%,2.78%,-111.72%
KMX,14.27B,3.85,1.67,4.15%,3.89%,24.93%
CCL,23.76B,0.90,1.96,8.94%,4.31%,7.72%
CARR,14.94B,1.06,N/A,9.97%,N/A,N/A
CAT,62.89B,4.31,1.08,10.41%,6.09%,35.69%
CBOE,9.79B,2.92,0.51,15.52%,8.27%,13.11%
CBRE,12.64B,2.03,1.74,5.23%,5.96%,22.76%
CDW,13.27B,13.82,1.23,4.07%,9.04%,82.75%
CNC,34.41B,2.74,0.74,1.08%,2.99%,4.73%
CNP,7.77B,1.17,0.97,-4.71%,2.97%,-5.33%
CTL,10.38B,0.77,1.04,5.45%,3.84%,9.02%
CERN,19.17B,4.44,0.86,8.93%,6.44%,11.35%
CF,5.82B,2.01,1.08,10.33%,4.57%,11.18%
SCHW,43.28B,2.28,1.27,33.30%,1.08%,14.76%
CHTR,90.08B,2.86,1.03,3.91%,2.95%,5.33%
CVX,135.28B,0.94,1.33,2.86%,2.49%,2.51%
CMG,18.20B,10.82,1.18,5.95%,5.70%,21.45%
CB,50.41B,0.91,0.69,10.79%,1.61%,7.01%
CHD,15.77B,5.91,0.31,14.96%,8.19%,25.20%
CI,65.41B,1.44,0.68,3.19%,3.56%,11.27%
CINF,12.13B,1.23,0.56,1.34%,0.22%,0.91%
CTAS,27.67B,8.94,1.41,13.19%,10.36%,29.46%
CSCO,178.84B,5.03,0.95,21.32%,9.59%,29.74%
C,87.69B,0.50,1.83,27.02%,0.83%,8.85%
CFG,8.02B,0.39,1.80,24.52%,0.82%,6.37%
CTXS,17.41B,20.79,0.28,23.88%,8.55%,448.10%
CLX,21.82B,39.31,0.22,13.67%,13.28%,117.89%
CME,61.85B,2.37,0.33,45.88%,1.78%,9.04%
CMS,16.81B,3.35,0.20,10.68%,3.22%,14.07%
KO,190.01B,10.01,0.56,26.95%,7.31%,50.85%
CTSH,25.14B,2.28,1.20,10.46%,10.76%,16.26%
CL,56.84B,485.81,0.59,15.86%,16.39%,"4,083.97%"
CMCSA,156.91B,1.90,0.96,10.72%,5.01%,14.78%
CMA,4.08B,0.56,1.84,28.80%,1.08%,10.72%
CAG,13.00B,1.71,0.74,7.37%,4.70%,10.00%
CXO,8.43B,0.47,1.89,-224.22%,-27.37%,-70.25%
COP,33.03B,0.94,1.71,11.90%,5.39%,11.50%
ED,26.05B,1.45,0.24,10.52%,2.81%,7.71%
STZ,32.93B,2.84,0.92,-0.14%,6.00%,0.17%
COO,17.06B,4.70,0.90,16.99%,5.31%,12.69%
CPRT,23.70B,12.30,N/A,30.95%,18.08%,35.28%
GLW,15.59B,1.47,1.10,3.29%,2.07%,2.81%
CTVA,17.59B,0.72,N/A,-5.91%,N/A,0.39%
COST,124.16B,7.83,0.70,2.39%,6.70%,24.56%
COTY,3.94B,0.88,1.05,-38.33%,1.29%,-50.34%
CCI,60.21B,5.08,0.35,14.75%,2.60%,7.79%
CSX,43.86B,3.70,1.23,27.74%,7.95%,26.85%
CMI,19.96B,2.66,1.16,9.34%,7.49%,25.40%
CVS,77.43B,1.21,0.71,2.77%,3.46%,11.50%
DHI,12.36B,1.21,1.57,10.26%,9.24%,18.69%
DHR,96.46B,3.36,0.86,18.13%,3.38%,8.61%
DRI,11.85B,5.21,1.31,7.25%,5.88%,27.45%
DVA,9.26B,4.34,1.23,7.85%,5.67%,24.08%
DE,49.92B,4.37,0.94,8.42%,3.72%,28.12%
DAL,18.20B,1.18,1.27,7.76%,5.07%,25.74%
XRAY,8.50B,1.67,1.04,2.12%,3.99%,1.71%
DVN,2.65B,0.46,3.43,-26.56%,5.74%,-23.38%
FANG,4.13B,0.31,2.25,-1.10%,5.85%,-0.89%
DLR,36.62B,4.34,0.23,21.89%,1.11%,5.01%
DFS,10.93B,0.97,1.85,29.50%,1.94%,20.74%
DISCA,9.27B,1.00,1.55,18.54%,6.25%,19.89%
DISCK,9.27B,0.90,1.55,18.54%,6.25%,19.89%
DISH,10.46B,0.90,1.67,8.82%,3.68%,11.36%
DG,38.65B,5.81,0.49,6.17%,8.11%,26.11%
DLTR,20.61B,3.37,0.55,3.50%,5.99%,13.90%
D,60.57B,2.05,0.41,10.27%,3.13%,6.01%
DOV,12.09B,3.99,1.39,10.59%,7.61%,25.73%
DOW,21.66B,1.60,N/A,-4.01%,N/A,-6.86%
DTE,18.29B,1.57,0.62,9.10%,2.66%,9.61%
DUK,59.45B,1.33,0.35,15.49%,2.34%,7.68%
DRE,11.93B,2.38,0.66,42.68%,1.96%,8.39%
DD,25.02B,0.61,1.46,-3.00%,1.48%,-1.71%
DXC,9.53B,1.11,2.51,-7.98%,3.70%,-15.51%
ETFC,7.59B,1.30,1.22,29.47%,1.25%,12.72%
EMN,6.33B,1.06,1.62,8.85%,4.89%,13.43%
ETN,31.08B,1.93,1.16,10.19%,5.27%,13.93%
EBAY,21.07B,7.34,1.28,43.49%,7.28%,48.13%
ECL,45.07B,5.19,0.99,10.32%,6.90%,18.29%
EIX,19.91B,1.50,0.54,9.66%,2.49%,8.41%
EW,38.95B,9.39,0.85,24.71%,14.07%,30.15%
EA,29.02B,4.01,0.90,54.88%,9.11%,47.51%
EMR,28.47B,3.38,1.52,12.04%,8.83%,27.13%
ETR,18.81B,1.84,0.57,10.33%,2.24%,11.24%
EOG,20.91B,0.97,1.96,12.79%,4.82%,10.20%
EFX,14.50B,5.62,1.19,7.45%,4.45%,10.95%
EQIX,53.67B,6.07,0.41,9.13%,2.87%,5.95%
EQR,22.96B,2.23,0.62,43.16%,2.74%,11.30%
ESS,14.41B,2.32,0.71,39.21%,3.03%,10.43%
EL,57.36B,12.54,0.77,8.43%,10.36%,29.26%
EVRG,12.48B,1.46,0.49,12.68%,2.74%,7.31%
ES,26.31B,2.08,0.38,11.02%,2.96%,7.49%
RE,7.69B,0.84,0.41,8.16%,1.55%,7.90%
EXC,35.87B,1.11,0.45,7.75%,2.26%,7.14%
EXPE,7.88B,1.99,N/A,-5.43%,2.26%,-15.42%
EXPD,11.09B,5.05,0.74,7.11%,12.90%,27.61%
EXR,12.36B,4.86,0.19,32.27%,4.92%,16.77%
XOM,160.55B,0.84,1.36,4.57%,1.52%,6.00%
FFIV,6.46B,3.35,1.11,14.77%,7.63%,19.66%
FB,475.55B,4.71,1.16,28.57%,13.40%,21.85%
FAST,17.90B,6.72,1.14,14.83%,17.56%,31.64%
FRT,5.64B,2.38,0.96,37.34%,3.08%,13.17%
FDX,36.86B,1.98,1.32,-0.50%,0.47%,-1.80%
FIS,74.93B,1.52,0.68,1.45%,2.03%,0.58%
FITB,10.56B,0.54,1.73,25.32%,1.01%,8.55%
FE,21.71B,3.11,0.47,6.24%,1.99%,8.34%
FRC,14.10B,1.62,1.17,27.50%,0.82%,9.51%
FISV,64.02B,1.94,0.84,8.51%,2.55%,5.93%
FLT,15.63B,4.21,1.49,32.37%,6.61%,27.50%
FLIR,4.16B,2.22,1.58,6.62%,5.56%,6.95%
FLS,3.10B,1.73,1.85,4.96%,4.98%,12.01%
FMC,10.57B,4.18,1.25,10.02%,6.72%,20.00%
F,19.77B,0.60,1.25,-2.06%,0.06%,-9.33%
FTNT,16.45B,12.44,0.92,16.44%,7.27%,46.63%
FTV,18.59B,2.52,1.29,8.28%,4.48%,8.55%
FBHS,6.08B,2.51,1.59,7.81%,7.67%,19.79%
FOXA,14.07B,1.38,N/A,10.74%,8.23%,14.44%
FOX,14.07B,1.34,N/A,10.74%,8.23%,14.44%
BEN,8.27B,0.82,1.31,17.29%,6.72%,8.71%
FCX,9.80B,1.05,2.25,-5.68%,-0.11%,-4.69%
GPS,6.50B,1.79,1.43,2.14%,5.96%,10.22%
GRMN,14.32B,2.99,0.98,25.30%,10.72%,21.05%
IT,8.89B,9.47,1.48,6.70%,4.19%,32.92%
GD,37.96B,2.80,N/A,N/A,N/A,N/A
GE,69.45B,2.45,0.96,-2.53%,1.22%,12.59%
GIS,29.68B,3.85,0.57,12.68%,6.26%,26.73%
GM,29.69B,0.71,1.39,3.60%,1.69%,10.81%
GPC,9.71B,2.64,1.10,3.11%,4.71%,17.08%
GILD,93.75B,4.16,0.73,21.84%,5.36%,22.29%
GL,7.66B,1.05,1.13,16.32%,2.53%,11.80%
GPN,43.13B,1.55,1.14,7.78%,2.47%,3.16%
GS,53.16B,0.67,1.45,21.40%,0.74%,8.02%
GWW,13.34B,7.16,0.96,6.58%,13.12%,39.12%
HRB,4.47B,N/A,0.83,12.96%,11.64%,N/A
HAL,5.99B,0.75,2.53,-10.60%,3.78%,-27.88%
HBI,2.74B,2.21,1.53,7.64%,6.58%,53.54%
HOG,2.90B,1.61,1.45,6.93%,3.08%,20.94%
HIG,12.61B,0.79,0.97,8.33%,2.45%,11.67%
HAS,9.80B,3.27,0.94,8.33%,5.21%,19.16%
HCA,30.33B,N/A,1.31,5.90%,9.61%,N/A
PEAK,12.83B,2.11,0.69,12.26%,0.99%,3.91%
HP,1.68B,0.42,2.12,-19.47%,1.59%,-12.92%
HSIC,7.20B,2.40,0.91,7.11%,6.26%,19.41%
HSY,27.58B,15.86,0.18,13.94%,12.32%,71.77%
HES,10.23B,1.17,2.29,-47.18%,0.32%,-28.63%
HPE,18.01B,1.05,1.34,4.22%,3.10%,6.77%
HLT,18.91B,N/A,1.26,20.78%,5.85%,N/A
HFC,3.97B,0.66,1.77,1.26%,3.46%,4.76%
HOLX,9.06B,4.03,1.44,13.62%,5.82%,21.22%
HD,236.12B,N/A,1.03,10.20%,20.79%,N/A
HON,93.90B,5.08,1.07,17.38%,8.20%,34.75%
HRL,25.40B,4.29,-0.07,10.29%,8.50%,16.62%
HST,7.78B,1.06,1.32,14.21%,2.85%,9.99%
HWM,7.00B,1.54,1.60,3.59%,5.53%,9.98%
HPQ,30.56B,N/A,1.05,5.16%,8.63%,N/A
HUM,41.52B,3.45,0.91,3.86%,6.88%,22.54%
HBAN,8.33B,0.79,1.56,27.35%,0.99%,9.49%
HII,7.38B,4.65,1.11,6.64%,7.13%,37.62%
IEX,10.40B,4.60,1.05,16.92%,9.90%,19.48%
IDXX,20.57B,115.92,0.80,17.78%,20.23%,546.43%
INFO,28.48B,3.38,1.00,19.74%,3.64%,10.45%
ITW,44.90B,14.84,1.17,18.06%,14.19%,90.81%
ILMN,40.10B,8.69,0.95,26.49%,8.64%,21.48%
INCY,15.89B,6.11,1.05,-16.87%,-7.20%,-18.69%
IR,10.33B,5.52,1.50,2.86%,1.89%,1.43%
INTC,229.14B,2.95,0.82,30.02%,11.48%,30.31%
ICE,44.25B,2.56,0.54,38.23%,1.58%,12.41%
IBM,98.49B,4.73,1.24,11.78%,4.30%,49.10%
IP,12.23B,1.59,1.37,2.99%,4.20%,9.11%
IPG,6.31B,2.27,1.08,7.78%,4.26%,26.15%
IFF,10.90B,1.75,1.10,9.09%,3.90%,7.80%
INTU,73.04B,20.11,1.04,22.89%,19.85%,50.01%
ISRG,57.74B,6.99,0.91,30.11%,9.70%,17.91%
IVZ,4.17B,0.42,1.50,10.02%,2.95%,5.66%
IPGP,5.86B,2.44,1.69,12.93%,5.80%,7.01%
IQV,20.60B,3.43,1.32,1.93%,2.33%,3.96%
IRM,6.85B,4.68,0.71,7.05%,3.75%,20.04%
JKHY,11.89B,8.00,0.59,17.64%,11.41%,20.16%
J,10.30B,1.72,0.98,6.23%,3.80%,3.49%
JBHT,9.73B,4.29,0.95,5.36%,8.83%,22.36%
SJM,11.81B,1.46,0.17,8.21%,4.41%,7.72%
JNJ,345.19B,5.80,0.72,20.75%,8.83%,28.55%
JCI,20.05B,1.04,1.18,21.80%,2.69%,6.47%
JPM,274.32B,1.17,1.18,29.42%,1.02%,11.56%
JNPR,6.34B,1.37,0.95,7.53%,3.41%,7.23%
KSU,12.08B,2.74,N/A,20.11%,7.23%,11.90%
K,20.56B,7.48,0.59,7.61%,5.90%,33.03%
KEY,10.11B,0.67,1.53,26.14%,0.97%,8.68%
KEYS,17.46B,5.81,1.09,15.25%,8.08%,23.16%
KMB,43.58B,N/A,0.51,12.55%,13.92%,N/A
KIM,4.18B,0.86,1.21,33.33%,2.51%,7.51%
KMI,31.48B,0.93,1.02,10.31%,3.22%,3.98%
KLAC,22.29B,8.35,1.35,18.26%,11.46%,39.23%
KSS,2.87B,0.53,1.75,3.46%,5.61%,12.59%
KHC,30.23B,0.59,1.02,7.58%,3.20%,3.71%
KR,21.50B,2.41,0.37,1.36%,3.93%,18.43%
LHX,39.07B,1.73,0.75,7.55%,N/A,N/A
LH,12.27B,1.62,1.37,2.77%,5.08%,4.55%
LRCX,34.84B,7.89,1.34,21.81%,12.27%,42.67%
LW,12.69B,63.10,0.85,12.10%,12.87%,446.22%
LVS,32.45B,6.26,1.62,17.81%,8.25%,42.18%
LEG,3.53B,2.69,1.62,6.86%,6.31%,26.17%
LDOS,13.00B,3.81,1.16,5.20%,5.57%,17.91%
LEN,18.39B,1.18,1.51,8.77%,5.60%,12.83%
LLY,132.75B,50.92,0.26,23.97%,10.25%,192.05%
LNC,5.09B,0.26,2.24,3.87%,0.24%,4.16%
LIN,90.85B,1.85,0.71,8.35%,2.58%,4.65%
LYV,9.63B,8.40,1.11,-0.56%,1.22%,-2.30%
LKQ,6.23B,1.24,1.66,4.74%,4.96%,11.98%
LMT,94.57B,30.24,0.98,10.21%,10.10%,207.79%
L,10.14B,0.51,0.77,-0.66%,0.73%,-2.77%
LOW,79.08B,40.10,1.36,5.93%,11.12%,152.46%
LYB,16.56B,2.06,1.54,8.12%,7.21%,30.71%
MTB,13.27B,0.92,1.25,30.12%,1.40%,10.92%
MRO,2.60B,0.21,3.46,5.28%,1.80%,2.15%
MPC,15.35B,0.46,2.20,-5.44%,2.00%,-18.99%
MKTX,12.61B,16.37,0.61,40.87%,19.86%,31.80%
MAR,24.25B,34.50,1.64,18.58%,4.36%,117.37%
MMC,43.74B,5.61,0.86,10.33%,7.34%,23.49%
MLM,11.77B,2.20,0.92,13.41%,5.33%,11.58%
MAS,9.12B,N/A,1.44,19.91%,13.07%,N/A
MA,242.53B,41.15,1.06,46.75%,22.32%,147.74%
MKC,19.42B,5.64,0.32,13.13%,5.98%,20.22%
MXIM,13.01B,7.53,1.32,37.00%,11.70%,49.65%
MCD,122.95B,N/A,0.68,27.95%,11.07%,N/A
MCK,21.85B,3.54,0.81,-0.41%,2.92%,-7.43%
MDT,154.78B,3.06,0.70,17.41%,4.86%,10.68%
MRK,194.20B,7.50,0.51,21.10%,11.76%,37.55%
MET,27.74B,0.42,1.34,12.45%,1.01%,13.82%
MTD,16.51B,39.23,1.05,18.38%,16.45%,126.11%
MGM,5.81B,0.75,2.23,24.45%,1.48%,22.82%
MCHP,16.59B,2.95,1.60,10.82%,2.57%,10.50%
MU,58.45B,1.60,N/A,N/A,N/A,N/A
MSFT,1.20T,10.87,0.95,33.36%,11.84%,44.20%
MAA,11.77B,1.94,0.66,19.71%,2.44%,5.40%
MHK,5.43B,0.67,1.52,7.47%,4.17%,9.51%
TAP,8.46B,0.63,0.91,-0.26%,2.70%,-0.14%
MDLZ,71.48B,2.62,0.63,14.25%,4.00%,14.42%
MNST,29.64B,7.11,0.99,26.06%,19.14%,29.73%
MCO,39.66B,64.80,1.17,30.88%,13.21%,272.92%
MS,53.57B,0.73,1.45,20.46%,0.94%,10.11%
MOS,4.10B,0.45,1.69,-15.91%,0.58%,-14.71%
MSI,23.35B,N/A,0.70,11.59%,10.41%,N/A
MSCI,24.19B,N/A,0.97,33.28%,13.89%,N/A
MYL,7.71B,0.65,1.55,0.54%,3.34%,0.54%
NDAQ,15.60B,2.77,0.75,15.95%,4.89%,13.40%
NOV,3.82B,0.49,1.82,-95.76%,-1.91%,-83.19%
NTAP,11.85B,22.12,1.29,18.19%,7.58%,134.79%
NFLX,165.14B,21.78,0.97,10.43%,6.23%,31.63%
NWL,5.63B,1.13,1.05,-10.69%,3.14%,-24.08%
NEM,36.31B,1.70,0.40,33.66%,3.89%,21.28%
NWSA,5.28B,0.59,1.42,-9.66%,1.84%,-12.47%
NWS,5.28B,0.59,1.42,-9.66%,1.84%,-12.47%
NEE,117.77B,3.18,0.21,17.78%,3.31%,7.82%
NLSN,4.47B,2.04,1.24,-7.33%,3.08%,-17.74%
NKE,139.20B,14.86,0.76,10.46%,13.18%,47.96%
NI,9.56B,1.87,0.24,4.85%,3.79%,4.16%
NBL,2.90B,0.34,2.65,-117.43%,-2.80%,-66.92%
JWN,5.72B,6.72,1.42,3.20%,5.79%,53.56%
NSC,37.40B,2.46,1.39,21.89%,6.79%,16.06%
NTRS,15.70B,1.60,1.10,24.55%,1.06%,14.01%
NOC,50.56B,5.73,0.81,6.57%,4.63%,25.31%
NLOK,11.23B,1.29,1.16,156.10%,3.28%,20.11%
NCLH,2.35B,0.36,2.77,-16.95%,3.14%,-20.80%
NRG,6.70B,4.04,1.07,42.14%,7.38%,"51,837.50%"
NUE,10.85B,1.05,1.47,3.57%,5.89%,8.48%
NVDA,179.79B,14.73,1.33,25.61%,11.62%,25.95%
NVR,9.44B,4.03,1.01,11.83%,17.12%,40.13%
ORLY,22.34B,56.22,1.05,13.41%,11.23%,569.53%
OXY,10.42B,0.43,2.02,-14.52%,1.72%,-12.00%
ODFL,15.69B,5.03,1.02,14.99%,13.47%,21.27%
OMC,11.92B,4.18,0.77,8.96%,5.28%,44.90%
OKE,9.03B,1.45,2.08,8.40%,5.97%,13.32%
ORCL,158.65B,10.05,0.88,27.06%,8.61%,55.01%
OTIS,21.66B,12.74,N/A,7.76%,N/A,N/A
PCAR,21.13B,2.18,1.14,8.73%,6.25%,22.60%
PKG,8.23B,2.68,1.30,9.39%,8.85%,21.91%
PH,16.63B,2.63,1.65,9.31%,7.19%,21.50%
PAYX,27.77B,10.82,0.94,26.98%,9.33%,41.35%
PAYC,11.64B,22.10,1.54,25.17%,7.23%,39.33%
PYPL,112.30B,6.65,1.11,10.27%,3.26%,12.04%
PNR,4.93B,2.52,1.26,12.66%,6.62%,20.30%
PBCT,4.69B,0.61,1.28,28.56%,0.99%,7.47%
PEP,166.82B,11.28,0.61,10.62%,8.32%,52.28%
PKI,8.38B,2.98,1.34,7.82%,3.87%,8.37%
PRGO,7.03B,1.22,1.20,3.77%,2.63%,3.28%
PFE,181.22B,2.87,0.71,31.17%,5.78%,25.41%
PM,113.61B,N/A,0.81,25.35%,19.17%,N/A
PSX,23.43B,0.94,1.60,0.36%,4.08%,2.70%
PNW,8.53B,1.57,0.35,16.22%,2.35%,10.38%
PXD,11.57B,0.95,1.79,7.36%,7.07%,5.69%
PNC,40.59B,0.82,1.26,30.29%,1.21%,10.35%
PPG,19.72B,3.73,1.24,7.88%,6.26%,24.37%
PPL,18.96B,1.46,0.78,23.68%,4.38%,14.43%
PFG,8.57B,0.59,1.62,7.36%,0.37%,9.63%
PG,271.64B,6.10,0.42,7.09%,8.35%,10.01%
PGR,43.22B,3.28,0.52,9.19%,5.54%,26.72%
PLD,59.36B,2.63,0.98,45.51%,1.75%,5.91%
PRU,20.65B,0.33,1.72,4.73%,0.26%,5.20%
PEG,22.63B,1.93,0.61,14.59%,3.42%,9.59%
PSA,34.65B,6.93,0.12,51.54%,8.47%,16.83%
PHM,5.99B,1.10,1.27,10.02%,8.23%,20.14%
PVH,6.36B,1.06,2.07,4.21%,3.71%,7.13%
QRVO,9.33B,2.13,1.41,10.32%,4.30%,7.73%
PWR,4.37B,1.08,1.15,2.65%,4.30%,8.70%
QCOM,76.24B,16.89,1.38,16.36%,15.73%,117.15%
DGX,10.76B,1.91,1.37,10.36%,5.98%,14.58%
RL,8.64B,2.97,1.29,10.40%,6.74%,20.55%
RJF,8.64B,1.26,1.36,12.19%,2.18%,14.49%
RTX,81.70B,1.96,0.88,5.34%,4.57%,10.79%
O,17.12B,1.75,0.67,30.45%,2.78%,5.14%
REG,6.50B,1.05,0.98,10.66%,2.26%,2.00%
REGN,54.78B,4.94,0.53,27.40%,10.77%,21.13%
RF,8.59B,0.57,1.70,25.99%,1.03%,8.22%
RSG,23.96B,2.94,0.62,10.45%,4.99%,13.54%
RMD,21.31B,9.44,0.50,17.73%,11.00%,23.97%
RHI,4.33B,3.78,1.58,7.11%,16.89%,39.38%
ROK,17.48B,24.38,1.47,10.54%,12.77%,62.86%
ROL,11.85B,14.52,0.38,9.76%,13.10%,26.64%
ROP,33.09B,3.49,1.02,30.18%,5.59%,18.49%
ROST,40.26B,12.29,0.81,10.35%,17.40%,49.84%
RCL,6.72B,0.55,2.49,17.16%,4.52%,15.65%
SPGI,59.03B,123.24,1.04,34.02%,21.54%,123.58%
CRM,162.80B,4.89,N/A,N/A,N/A,N/A
SBAC,30.12B,N/A,0.39,-0.30%,4.24%,N/A
SLB,18.72B,0.79,2.10,-55.19%,3.00%,-68.20%
STX,12.73B,6.96,1.09,17.57%,9.48%,104.62%
SEE,3.85B,N/A,1.12,6.84%,8.35%,N/A
SRE,32.99B,1.65,0.76,22.96%,2.74%,11.09%
NOW,54.65B,25.68,1.35,18.20%,1.26%,39.09%
SHW,41.72B,10.12,1.22,8.98%,7.55%,47.94%
SPG,16.77B,6.75,1.40,35.15%,5.45%,69.08%
SWKS,14.97B,3.51,1.23,24.35%,11.22%,19.28%
SLG,3.30B,0.63,1.69,30.20%,1.86%,5.85%
SNA,5.91B,1.73,1.37,16.33%,10.48%,20.42%
SO,57.17B,2.08,0.46,16.76%,3.05%,11.11%
LUV,18.12B,1.84,1.27,8.46%,5.47%,19.28%
SWK,15.35B,2.01,1.49,6.45%,4.62%,10.90%
SBUX,76.79B,N/A,0.80,12.71%,10.13%,N/A
STT,18.75B,0.87,1.56,20.06%,0.80%,9.69%
STE,11.87B,3.51,0.75,13.45%,6.45%,12.37%
SYK,62.50B,4.88,0.85,14.47%,7.61%,17.45%
SIVB,7.78B,1.27,2.21,32.38%,1.52%,16.21%
SYF,9.38B,0.65,1.66,36.53%,2.88%,21.93%
SNPS,23.60B,5.69,N/A,13.96%,4.84%,11.58%
SYY,23.14B,9.16,1.13,2.30%,7.45%,61.46%
TMUS,72.25B,2.51,0.27,7.80%,4.81%,12.73%
TROW,22.26B,3.13,1.16,34.10%,18.73%,25.50%
TTWO,13.45B,5.60,N/A,13.09%,5.78%,17.66%
