ABC,AMERISOURCEBERGEN CORP,"AmerisourceBergen Corporation provides pharmaceutical services. The Company offers brand generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, and related services to healthcare providers. AmerisourceBergen distributes its products internationally."
ABCB,AMERIS BANCORP,"Ameris Bancorp is a multi-bank holding company. The Banks provide a broad range of retail and commercial banking services to its customers, including checking and savings deposits, commercial and consumer loans, trust services, discount brokerage services, and electronic funds transfer services. Ameris Bancorp operates in Georgia, Florida, and Alabama."
ABEO,ABEONA THERAPEUTICS INC,Abeona Therapeutics Inc. is a leading clinical-stage biopharmaceutical company. The Company develops novel gene therapies for life-threatening rare diseases.
ABG,ASBURY AUTOMOTIVE GROUP,"Asbury Automotive Group, Inc. operates as an automotive retailer operating franchises and dealership locations in the United States. The Company offers new and used vehicles and related financing and insurance, vehicle maintenance and repair services, replacement parts, and service contracts. Asbury Automotive Group offers dealership for luxury and mid-line import brands."
ABM,ABM INDUSTRIES INC,"ABM Industries Incorporated is a facility services contractor. The Company provides air conditioning, engineering, janitorial, lighting, parking, security, and other outsourced facility services to the commercial, industrial, and institutional customers across North America."
ABMD,ABIOMED INC,"ABIOMED, Inc. develops, manufactures, and markets cardiovascular products. The Company develops technologies designed to assist and replace the pumping function of the heart. Abiomed's products and services are used by health care professionals in worldwide."
ABR,ARBOR REALTY TRUST INC,"Arbor Realty Trust, Inc. is a specialized real estate finance company.  The Company invests in real estate related bridge and mezzanine loans, preferred equity and, in limited cases, discounted mortgage notes and other real estate related assets."
ABT,ABBOTT LABORATORIES,"Abbott Laboratories discovers, develops, manufactures, and sells a broad and diversified line of health care products and services. The Company's products include pharmaceuticals, nutritional, diagnostics, and vascular products. Abbott markets its products worldwide through affiliates and distributors."
ABTX,ALLEGIANCE BANCSHARES INC,"Allegiance Bancshares, Inc. operates as a bank holding company. The Company, through its subsidiaries, offers banking products and services such as certificate of deposit, money market accounts, business and personal loans, treasury management, savings accounts, and online banking services."
AC,ASSOCIATED CAPITAL GROUP - A,"Associated Capital Group, Inc. operates as a holding company. The Company, through its subsidiaries, engages in the investment management and institutional research services business. Associated Capital Group conducts business in the United States."
ACA,ARCOSA INC,"Arcosa, Inc. provides infrastructure construction services. The Company builds transportation lines, energy projects, and other related properties. Arcosa serves customers in the United States."
ACAD,ACADIA PHARMACEUTICALS INC,"ACADIA Pharmaceuticals Inc. operates as a biopharmaceutical company focuses on the discovery, development, and commercialization of small molecule drugs for the treatment of central nervous system disorders. The Company specializes in the treatment of induced dysfunction in parkinson's disease, schizophrenia, neuropathic pain, and glaucoma."
ACBI,ATLANTIC CAPITAL BANCSHARES,"Atlantic Capital Bancshares, Inc. offers commercial banking products and services. The Bank provides lending and financing, treasury services, loans, commercial real estate finance, money market accounts, fed funds program, and medical and legal banking. Atlantic Capital Bancshares serves customers throughout the United States."
ACC,AMERICAN CAMPUS COMMUNITIES,"American Campus Communities, Inc. owns and operates on and off-campus housing properties within close proximity to colleges and universities. The Company provides development and construction services for student housing properties owned by universities, charitable foundations, and others. American Campus Communities also provides third party management and leasing services."
ACCD,ACCOLADE INC,"Accolade, Inc. offers software solutions. The Company provides personalized, technology-enabled solutions that help people better understand, navigate, and utilize the healthcare system and their workplace benefits. Accolade serves customers in the United States."
ACCO,ACCO BRANDS CORP,"Acco Brands Corporation manufactures office products. The Company produces staplers, daily scheduling diaries, shredders, laminating equipment, and presentation boards."
ACEL,ACCEL ENTERTAINMENT INC,"Accel Entertainment, Inc. operates as a gaming-as-a-service provider. The Company offers slot machine, redemption, and amusement equipment to retail establishments. Accel Entertainment serves customers in the United States."
ACGL,ARCH CAPITAL GROUP LTD,"Arch Capital Group Ltd. provides financial services. The Company offers life, health, and property insurance and reinsurance products, as well as mortgage insurance. Arch Capital Group serves customers globally."
ACHC,ACADIA HEALTHCARE CO INC,"Acadia Healthcare Company, Inc. operates a network of behavioral health centers. The Company provides psychiatric and chemical dependency services, inpatient psychiatric hospitals, residential treatment centers, outpatient clinics, and therapeutic school based programs. Acadia Healthcare serves customers the United States."
ACI,ALBERTSONS COS INC - CLASS A,"Albertsons Companies, Inc. retails food products. The Company distributes fruits, vegetables, canned items, and other related goods. Albertsons Companies serves customers in the United States."
ACIA,ACACIA COMMUNICATIONS INC,"Acacia Communications, Inc. designs, develops, manufactures, and markets communication equipments. The Company offers high-speed coherent optical interconnect products for cloud infrastructure operators, content, and communication service providers. Acacia Communications serves customers worldwide."
ACIW,ACI WORLDWIDE INC,"ACI Worldwide, Inc. develops, markets, and supports software products for the global electronics funds transfer market. The Company's products are used to process transactions involving credit cards, debit cards, smart cards, home banking services, checks, and automated clearing and settlement."
ACLS,AXCELIS TECHNOLOGIES INC,"Axcelis Technologies, Inc. produces components for the semiconductor industries. The Company designs, manufactures, and services ion implantation, dry strip, thermal processing, and curing equipment used in the fabrication of semiconductor chips. Axcelis Technologies markets products to semiconductor chip manufacturers worldwide."
ACM,AECOM,"AECOM provides professional technical services to the United States government, state, local, and non-U.S. governments and agencies, and commercial customers. The Company's services include consulting, planning, architecture, engineering, construction management, project management, asset management, environmental services, and design-build services."
ACN,ACCENTURE PLC-CL A,"Accenture PLC provides management and technology consulting services and solutions. The Company delivers a range of specialized capabilities and solutions to clients across all industries on a worldwide basis. Accenture operates a network of businesses provides consulting, technology, outsourcing, and alliances."
ACNB,ACNB CORP,"ACNB Corporation is the holding company for Adams County National Bank. The Company offers commercial and retail banking, trust, accounting, and insurance services through a network of full-service offices in Adams, Cumberland, and York counties in Pennsylvania. ACNB Pennbanks Insurance Co. subsidiary reinsures credit life and credit accident and disability risks."
ACRE,ARES COMMERCIAL REAL ESTATE,"Ares Commercial Real Estate Corporation operates as a finance company. The Company is focused on originating, investing in, and managing middle-market commercial real estate loans and other commercial sectors. Ares Commercial Real Estate serves customers in the United States."
ACRX,ACELRX PHARMACEUTICALS INC,"AcelRx Pharmaceuticals, Inc. operates as a pharmaceutical company. The Company offers therapies for the treatment of acute and breakthrough pain, as well as provides mild sedation, anxiety reduction, and pain relief. AcelRx Pharmaceuticals serves patients worldwide."
ACTG,ACACIA RESEARCH CORP,"Acacia Research Corporation develops, acquires, and licenses patented technologies. The Company controls patent portfolios covering technologies used in a variety of industries. Acacia Research serves customers worldwide."
ADBE,ADOBE INC,"Adobe Inc. develops, markets, and supports computer software products and technologies. The Company's products allow users to express and use information across all print and electronic media. Adobe offers a line of application software products, type products, and content for creating, distributing, and managing information."
ADC,AGREE REALTY CORP,"Agree Realty Corporation is a real estate investment trust that owns, manages, and develops primarily neighborhood community shopping centers and single tenant properties, located in twelve states and leased under net leases to major retail tenants."
ADES,ADVANCED EMISSIONS SOLUTIONS,"Advanced Emissions Solutions, Inc. provides emissions solutions. The Company offers advanced mercury and acid gas control solutions, as well as delivers proprietary environmental technologies, equipment, and specialty chemicals that enable coal-fueled power plants. Advanced Emissions Solutions serves clients in the United States."
ADI,ANALOG DEVICES INC,"Analog Devices, Inc. designs, manufactures, and markets integrated circuits used in analog and digital signal processing. The Company's products are used in communications, computer, industrial, instrumentation, military, aerospace, automotive, and high-performance consumer electronics applications. Analog Devices sells its products worldwide."
ADM,ARCHER-DANIELS-MIDLAND CO,"Archer-Daniels-Midland Company procures, transports, stores, and merchandises agricultural commodities and products. The Company processes oilseeds, corn, milo, oats, barley, peanuts, and wheat. Archer-Daniels-Midland also processes produce products which have primarily two end uses including food or feed ingredients."
ADMA,ADMA BIOLOGICS INC,"ADMA Biologics, Inc. operates as a biopharmaceutical company. The Company develops and commercializes human plasma and plasma-derived therapeutics for immunity-compromised patients. ADMA Biologics serves patients in the United States."
ADNT,ADIENT PLC,"Adient plc is a automotive seating supplier that designs, develops, manufactures, and distributes complete seat systems and their various components. The Company provides its products to the global auto industry for use in vans, pick-up trucks and SUV vehicles."
ADP,AUTOMATIC DATA PROCESSING,"Automatic Data Processing, Inc. is a global provider of business outsourcing solutions. The Company's services include a wide range of human resource, payroll, tax, and benefits administration solutions. Automatic Data also provides solutions to auto, truck, motorcycle, marine, and recreational vehicle dealers."
ADPT,ADAPTIVE BIOTECHNOLOGIES,"Adaptive Biotechnologies Corporation provides life science equipment. The Company offers testing instruments for diagnose, treat, and monitor disease. Adaptive Biotechnologies serves customers in the United States."
ADRO,ADURO BIOTECH INC,"Aduro Biotech, Inc. provides immunotherapy services. The Company develops technology and vaccines for the treatment of early stage cancer and mesothelin-expressing tumors. Aduro Biotech serves patients in North America and Europe."
ADS,ALLIANCE DATA SYSTEMS CORP,"Alliance Data Systems Corporation provides data-driven and transaction-based marketing and customer loyalty solutions. The Company offers a portfolio of integrated outsourced marketing solutions, including customer loyalty programs, database marketing, consulting, analytics and creative, email marketing, private label, and co-branded retail credit cards."
ADSK,AUTODESK INC,"Autodesk, Inc. supplies PC software and multimedia tools. The Company's two-dimensional and three-dimensional products are used across industries and in the home for architectural design, mechanical design, geographic information systems and mapping, and visualization applications. Autodesk's software products are sold worldwide through a network of dealers and distributors."
ADSW,ADVANCED DISPOSAL SERVICES I,"Advanced Disposal Services, Inc. provides waste management services. The Company offers non-hazardous solid waste collection, disposal, and recycling services. Advanced Disposal Services serves customers in the United States."
ADT,ADT INC,"ADT Inc. provides commercial security systems and services. The Company offers home and business automation solutions which includes temperature, burglary, flood, fire and smoke, and medical alert monitoring. ADT also provides security cameras, remote access, and wireless home security systems. ADT serves customers in the United States."
ADTN,ADTRAN INC,"ADTRAN, Inc. designs, develops, manufactures, markets, and services a variety of high-speed digital transmission products. The Company's products are used by telephone companies and corporate end-users to implement advanced digital data services over existing telephone networks. ADTRAN also offers a line of multiplexers which provides modular flexibility."
ADUS,ADDUS HOMECARE CORP,"Addus HomeCare Corporation provides a broad range of social and medical services in the home. The Company offers services include personal care and assistance with activities of daily living, skilled nursing, rehabilitative therapies, and adult day care. Addus consumers are individuals with special needs who are at risk of hospitalization and institutionalization."
ADVM,ADVERUM BIOTECHNOLOGIES INC,"Adverum Biotechnologies, Inc. operates as a biotechnology company. The Company focuses on targeting unmet medical needs for serious ocular and rare diseases. Adverum is evaluating its novel gene therapy candidate, ADVM-022, as a one-time, intravitreal injection for the treatment of its lead indication, and wet age-related macular degeneration."
AE,ADAMS RESOURCES & ENERGY INC,"Adams Resources & Energy, Inc. operates as an exploration company. The Company explores, develops, and markets oil and natural gas, as well as transports liquid chemicals in tank trucks. Adams Resources & Energy serves customers in the United States."
AEE,AMEREN CORPORATION,"Ameren Corporation is a public utility holding company. The Company, through its subsidiaries, generates electricity, delivers electricity, and distributes natural gas to customers in Missouri and Illinois."
AEGN,AEGION CORP,"Aegion Corp. provides technologies and services to protect, rehabilitate, strengthen, and extend the life of infrastructure assets including pipelines, bridges, buildings, and waterfront structures. The Company provide a variety of infrastructure solutions to the energy and mining, commercial and structural, and water and wastewater markets."
AEIS,ADVANCED ENERGY INDUSTRIES,"Advanced Energy Industries, Inc. provides engineered precision power conversion, measurement, and control solutions. The Company designs, manufactures, sells, and supports power conversion products and solutions that transform power into various usable forms in a variety of applications ranging from manufacturing and industrial processes to instrumentation and measurement."
AEL,AMERICAN EQUITY INVT LIFE HL,"American Equity Investment Life Holding Company develops, markets, issues, and administers annuities and life insurance products through its subsidiaries. The Company is a full-service underwriter of an array of annuity and insurance products, and is licensed to sell its products throughout the United States."
AEO,AMERICAN EAGLE OUTFITTERS,"American Eagle Outfitters, Inc. retails men's and women's casual apparel, footwear, outerwear, and accessories. The Company's products include jeans, khakis, t-shirts, and other similar apparel. American Eagle operates in the United States."
AEP,AMERICAN ELECTRIC POWER,"American Electric Power Company, Inc. (AEP) operates as a public utility holding company. The Company generates, transmits, distributes, and sells electricity to residential and commercial customers. AEP serves customers in the United States."
AERI,AERIE PHARMACEUTICALS INC,"Aerie Pharmaceuticals, Inc. operates as a clinical-stage pharmaceutical company. The Company discovers, develops, and distributes pharmaceutical products for the treatment of glaucoma and other diseases of the eye. Aerie Pharmaceuticals serves customers worldwide."
AES,AES CORP,"The AES Corporation acquires, develops, owns, and operates generation plants and distribution businesses in several countries. The Company sells electricity under long term contracts and serves customers under its regulated utility businesses. AES also mines coal, turns seawater into drinking water, and develops alternative sources of energy."
AFG,AMERICAN FINANCIAL GROUP INC,"American Financial Group, Inc. provides multi-line property and casualty insurance. The Company also sells tax-deferred annuities and certain life and supplemental health insurance products. American Financial operates in the United States."
AFIB,ACUTUS MEDICAL INC,"Acutus Medical, Inc. develops and produces medical products. The Company offers imaging, navigation, and mapping system for the treatment of cardiac arrhythmias. Acutus Medical serves healthcare industries worldwide."
AFIN,AMERICAN FINANCE TRUST INC,"American Finance Trust, Inc. operates as a publicly traded real estate investment. The Company focuses on acquiring and managing portfolio of primarily service-oriented and traditional retail, as well as distribution commercial real estate properties in the United States."
AFL,AFLAC INC,"Aflac, Inc. is a general business holding company. The Company, through its subsidiaries, provides supplemental insurance to individuals in the United States and Japan. Aflac's products include accident and disability, cancer expense, short-term disability, sickness and hospital indemnity, hospital intensive care, and fixed-benefit dental plans."
AFMD,AFFIMED NV,Affimed N.V. operates as a clinical-stage biopharmaceutical company. The Company focuses on discovering and developing targeted cancer immuno-oncology therapies. Affimed offers its services worldwide.
AGCO,AGCO CORP,"AGCO Corporation manufactures and distributes agricultural equipment. The Company sells a wide range of agricultural equipment and related replacement parts, including tractors, combines, hay tools, sprayers, and forage equipment. AGCO serves customers worldwide."
AGEN,AGENUS INC,"Agenus Inc. develops vaccines. The Company offers vaccines for brain cancer, kidney cancer, herpes, lung cancer, melanoma, malaria, shingles, and other diseases. Agenus serves patients worldwide."
AGFS,AGROFRESH SOLUTIONS INC,"AgroFresh Solutions, Inc. provides proprietary technologies for the horticultural market. The Company develops and markets ethylene management systems for growers, packers, shippers, exporters, and importers to maintain and deliver fruits, vegetables, and flowers. AgroFresh Solutions serves customers worldwide."
AGIO,AGIOS PHARMACEUTICALS INC,"Agios Pharmaceuticals, Inc. discovers and develops therapeutics in the field of cancer metabolism. The Company develops drugs focusing on glycolysis, fatty acid metabolism, and autophagy. Agios Pharmaceuticals operates in the United States."
AGLE,AEGLEA BIOTHERAPEUTICS INC,"Aeglea BioTherapeutics, Inc. operates as a biotechnology company. The Company focuses on developing enzyme-based therapeutics in the field of amino acid metabolism. Aeglea BioTherapeutics serves patients in the United States."
AGM,FEDERAL AGRIC MTG CORP-CL C,"Federal Agricultural Mortgage Corporation (Farmer Mac) is a federally chartered instrumentality, which establishes a secondary market for agricultural real estate. The Company provides rural housing mortgage loans and adds greater liquidity to the agricultural mortgage market."
AGNC,AGNC INVESTMENT CORP,AGNC Investment Corp. is an internally-managed real estate investment trust. The Company invests primarily in residential mortgage-backed securities for which the principal and interest payments are guaranteed by a US government and agency. AGNC Investment serves customers in the United States.
AGO,ASSURED GUARANTY LTD,"Assured Guaranty Ltd. provides financial guaranty insurance and reinsurance coverage. The Company offers products include guaranties for municipal, structured, and infrastructure finance. Assured Guaranty serves customers worldwide."
AGR,AVANGRID INC,"Avangrid, Inc. is a U.S. based diversified energy and utility company that provides clean energy. The Company owns and operates electricity generation and natural gas storage utilities."
AGRX,AGILE THERAPEUTICS INC,"Agile Therapeutics, Inc. develops women's healthcare products. The Company provides contraceptive patch containing the active ingredients levonorgestrel and ethinyl estradiol, as well as progestin-only birth control patch. Agile Therapeutics discovers a pipeline of investigational contraceptive products in the United States."
AGS,PLAYAGS INC,"PlayAGS, Inc. manufactures and supplies electronic gaming products. The Company focuses on providing slot and video bingo machines, table games, and casino equipment for players and operators. PlayAGS serves gaming market worldwide."
AGTC,APPLIED GENETIC TECHNOLOGIES,Applied Genetic Technologies Corporation (AGTC) of Delaware operates as a biopharmaceutical company. The Company researches and develops new therapies for curing human diseases such as lung and eye diseases. AGTC serves customers in the States of Massachusetts and Nevada.
AGX,ARGAN INC,"Argan, Inc., through its subsidiary, designs and builds energy plants. The Company's energy plants include traditional gas as well as alternative energy including biodiesel, ethanol, and renewable energy sources such as wind power and solar."
AGYS,AGILYSYS INC,"Agilysys, Inc. develops application software.The Company specializes in point-of-sale, property management, inventory, procurement, mobile, and wireless solutions. Agilysys serves hospitality and retail industries worldwide."
AHCO,ADAPTHEALTH CORP,"AdaptHealth Corp. provides home medical equipment. The Company sells and leases mobility and oxygen equipment, wheelchairs, walkers, sleep therapy supplies, and hospital beds. AdaptHealth serves the hospitals, sleep labs, skilled nursing facilities, and clinics."
AHH,ARMADA HOFFLER PROPERTIES IN,"Armada Hoffler Properties, Inc. operates as a full service real estate company. The Company develops, builds, owns, and manages office, retail, and residential properties. Armada Hoffler Properties offers its services in the Mid-Atlantic region of the United States."
AI,ARLINGTON ASSET INVESTMENT-A,"Arlington Asset Investment Corp is real estate investment trust that invests primarily in mortgage-related and other assets.  The Company acquires residential mortgage-backed securities, issued by U.S. government agencies or guaranteed as to principal and interest by U.S. government agencies or U.S. government-sponsored entities and securities issued by private organizations."
AIG,AMERICAN INTERNATIONAL GROUP,"American International Group, Inc. is an international insurance organization serving commercial, institutional and individual customers. AIG provides property-casualty insurance, life insurance, and retirement services."
AIMC,ALTRA INDUSTRIAL MOTION CORP,"Altra Industrial Motion Corp. designs, produces, and markets a wide range of mechanical power transmission and motion control products. The Company offers products such as industrial clutches and brakes, enclosed gear drives, open gearing, couplings, engineered bearing assemblies, linear components, and other related products."
AIMT,AIMMUNE THERAPEUTICS INC,"Aimmune Therapeutics, Inc. operates as a clinical-stage biopharmaceutical company. The Company focuses on developing treatments to protect children with food allergies from accidental exposure. Aimmune Therapeutics serves customers in the United States."
AIN,ALBANY INTL CORP-CL A,"Albany International Corp. operates as a textiles and materials processing company. The Company designs and manufactures products and technologies help make paper smoother, tissue softer, and aircraft engines and structures lighter. Albany International serves customers globally."
AIR,AAR CORP,"AAR Corp. supplies aftermarket products and services to the global aviation and aerospace industry. The Company purchases, sells, and leases new and used commercial jet aircraft, as well as leases a variety of new, overhauled, and repaired engines and engine products for the aviation aftermarket. AAR operates worldwide."
AIT,APPLIED INDUSTRIAL TECH INC,"Applied Industrial Technologies, Inc. distributes bearings and seals, power transmission and fluid power components, hydraulic and pneumatic components, industrial rubber products, linear components, and general maintenance items. The Company also provides engineering design and systems integration services, as well as mechanical, fabricated rubber, and fluid power shop services."
AIV,APARTMENT INVT & MGMT CO -A,"Apartment Investment & Management Company is a self-administered and self-managed real estate investment trust. The trust owns a geographically diversified portfolio of multifamily apartment properties in the United States, the District of Columbia, and Puerto Rico. Apartment Investment also provides property management and asset management services."
AIZ,ASSURANT INC,"Assurant, Inc. provides housing and lifestyle solutions that supports, protects, and connects major consumer purchases. The Company offers mobile device solutions, extended service contracts, and vehicle protection, as well as pre-funded funeral, renters, and lender-placed homeowners insurance. Assurant serves customers worldwide."
AJG,ARTHUR J GALLAGHER & CO,"Arthur J. Gallagher & Co. and its subsidiaries provide insurance brokerage, risk management, employee benefit, and other related services to clients in the United States and abroad. The Company's principal activity is the negotiation and placement of insurance for its clients. Gallagher also specializes in furnishing risk management services."
AJRD,AEROJET ROCKETDYNE HOLDINGS,"Aerojet Rocketdyne Holdings, Inc. operates as a holding company. The Company, through its subsidiaries, develops and manufactures propulsion systems for defense and space applications, as well as armaments for precision tactical and long-range weapon systems applications. Aerojet Rocketdyne Holdings also provides real estate services, including entitlement, sale, and leasing."
AJX,GREAT AJAX CORP,"Great Ajax Corp. is a real estate investment trust. The Company acquires, invests, and manages a portfolio of mortgage-based loan assets secured by single and multi family residences, commercial retail, and residential properties."
AKAM,AKAMAI TECHNOLOGIES INC,"Akamai Technologies, Inc. provides services for accelerating and improving the delivery of content and applications over the internet, ranging from live and on-demand streaming video capabilities to conventional content on websites, to tools that help people transact business and reach out to new and existing customers."
AKBA,AKEBIA THERAPEUTICS INC,"Akebia Therapeutics, Inc. manufactures biopharmaceutical products. The Company develop and distributes novel therapeutics based on the biology of hypoxia inducible factor (HIF) for patients with kidney diseases. Akebia Therapeutics serves customers in the United States."
AKCA,AKCEA THERAPEUTICS INC,"Akcea Therapeutics, Inc. operates as a late stage biopharmaceutical company. The Company develops and commercializes drugs for the treatment of patients with cardiometabolic diseases caused by lipid disorders. Akcea Therapeutics serves patients worldwide."
AKR,ACADIA REALTY TRUST,"Acadia Realty Trust is a fully integrated and self-managed real estate investment trust. The trust specializes in the acquisition, redevelopment and operation of shopping centers which are anchored by grocery and value-oriented retail. Acadia is headquartered in White Plains, New York."
AKRO,AKERO THERAPEUTICS INC,"Akero Therapeutics, Inc. operates as a biotechnology company. The Company discovers and develops medicines and therapies for metabolic diseases by restoring metabolic balance. Akero Therapeutics serves patients and customers in the States of Massachusetts and California."
AKTS,AKOUSTIS TECHNOLOGIES INC,"Akoustis Technologies, Inc. designs, develops, and manufactures acoustic wave technology. The Company uses single-crystal piezoelectric materials to create bulk acoustic wave (BAW) filters for mobile smartphones and other mobile wireless devices. Akoustis Technologies serves clients in the United States."
AKUS,AKOUOS INC,"Akouos, Inc. operates as a biotechnology company. The Company develops targeted therapies to restore and preserve hearing in genetically-defined patient populations. Akouos serves customers in the State of Massachusetts."
AL,AIR LEASE CORP,"Air Lease Corporation operates an aircraft leasing company. The Company purchases, sales, and leases commercial aircrafts. Air Lease serves clients worldwide."
ALB,ALBEMARLE CORP,"Albemarle Corporation produces specialty chemicals. The Company offers plastics, polymers, and elastomers, as well as cleaning products, agricultural compounds, pharmaceuticals, photographic chemicals, drilling compounds, and biocides. Albemarle focuses on lithium, bromine, refining catalysts, and applied surface treatment. Albemarle markets its products globally."
ALBO,ALBIREO PHARMA INC,"Albireo Pharma, Inc. operates as a biopharmaceutical company. The Company focuses on the development and commercialization of novel bile acid modulators to treat orphan pediatric liver diseases and gastrointestinal disorders. Albireo Pharma serves patients in the United States."
ALCO,ALICO INC,"Alico, Inc. manufactures citrus fruit. The Company is involved in various agribusiness activities and operations including fruit production, cattle ranching, sugarcane, sod, and forestry, as well as leases land for farming, cattle grazing, recreation, and oil exploration. Alicoserves customers worldwide."
ALE,ALLETE INC,"ALLETE, Inc. provides energy services in the upper Midwest United States. The Company generates, transmits, distributes, markets, and trades electrical power for retail and wholesale customers."
ALEC,ALECTOR INC,"Alector, Inc. operates as a clinical stage biopharmaceutical company. The Company researches and develops novel therapeutics for the treatment of neurodegeneration and other brain disorders. Alector offers its services in the State of California."
ALEX,ALEXANDER & BALDWIN INC,"Alexander & Baldwin, Inc. operates as a real estate owner and developer. The Company owns, develops, manages, and invests in residential, commercial, retail, and office spaces, as well as offers natural materials, land development, and infrastructure construction services. Alexander & Baldwin serves customers in the United States."
ALG,ALAMO GROUP INC,"Alamo Group Inc. designs, manufactures, and distributes heavy duty, tractor-mounted mowing and vegetation maintenance equipment and replacement parts, for industrial and agricultural end-users. The Company sells its products in Europe and the United States."
ALGN,ALIGN TECHNOLOGY INC,"Align Technology, Inc. designs, manufactures, and markets the invisalign system, a method for treating the misalignment of teeth. The Company offers a system that corrects the misalignment using a series of clear and removable appliances that move teeth to a desired final position. Align Technology serves customers worldwide."
ALGT,ALLEGIANT TRAVEL CO,"Allegiant Travel Company operates as a leisure travel company. The Company offers flight transport, hotel booking, car rentals, travel management, and other related services. Allegiant Travel serves customers worldwide."
ALK,ALASKA AIR GROUP INC,"Alaska Air Group, Inc. is an airline holding company. The Company, through its subsidiaries, provides air services to passengers in multiple destinations. Alaska Air also provide freight and mail services, primarily to and within the state of Alaska and on the West Coast."
ALKS,ALKERMES PLC,"Alkermes PLC researches pharmaceuticals. The Company develops treatments for central nervous system disorders such as addiction, schizophrenia and depression, and diabetes."
ALL,ALLSTATE CORP,"The Allstate Corporation, through its subsidiaries, provides property-liability insurance as well as other types of insurance in the United States and Canada. The Company primarily sells private passenger automobile and homeowners insurance through independent and specialized brokers. Allstate also sells life insurance, annuity, and group pension products through agents."
ALLE,ALLEGION PLC,"Allegion PLC provides security products and solutions. The Company offers mechanical and electronic security products, services, and systems to keep people and places safe. Allegion serves commercial, institutional, and residential customers in the Americas, Europe, the Middle East, India, Africa, and the Asia Pacific."
ALLK,ALLAKOS INC,"Allakos Inc. operates as a clinical stage bio-technology company. The Company discovers and develops therapeutic antibodies for the treatment of allergic, inflammatory, and proliferative diseases. Allakos serves customers in the United States."
ALLO,ALLOGENE THERAPEUTICS INC,"Allogene Therapeutics, Inc. operates as a biotechnology company. The Company develops allogeneic chimeric antigen receptor T-cell therapy for the treatment of blood cancers and solid tumors. Allogene Therapeutics serves patients in the State of California."
ALLY,ALLY FINANCIAL INC,Ally Financial Inc. operates as a financial holding company. The Company offers automotive financial services. Ally Financial serves clients in the United States.
ALNY,ALNYLAM PHARMACEUTICALS INC,"Alnylam Pharmaceuticals, Inc. operates as an early-stage therapeutics company. The Company discovers and develops drug and medicines for the treatment of human disease. Alnylam Pharmaceuticals serves health care sectors in the United States and the United Kingdom."
ALRM,ALARM.COM HOLDINGS INC,"Alarm.com Holdings, Inc. provides interactive security solutions for home and business owners. The Company offers security systems such as image sensor, crash and smash protection, web control, mobile access, and video monitoring. Alarm.com Holdings operates worldwide."
ALRS,ALERUS FINANCIAL CORP,"Alerus Financial Corporation provides banking services. The Bank offers saving accounts, payments, cards, retirement, insurance, mortgage, and asset management services. Alerus Financial serves clients in the United States."
